tag_type,tag,count,count_after_pruning,weight_rows,positive_weight_rows,zero_weight_rows,avg_weight,protected_mal_theme,drop_candidate,example_titles
tag,Little Black Sambo,1,0,1,0,1,0.0,False,True,Star Driver: Kagayaki no Takuto
tag,Muay Thai,1,0,1,1,0,400.0,False,True,Shijou Saikyou no Deshi Kenichi
tag,acrobatic diving,1,0,1,1,0,600.0,False,True,Dive!!
tag,body swap,1,0,1,0,1,0.0,False,True,Beyblade X
tag,mother-daughter incest,1,0,1,0,1,0.0,False,True,Kill la Kill
tag,only the beginning,1,0,1,0,1,0.0,False,True,Haibane Renmei
tag,para para,1,0,1,0,1,0.0,False,True,Super GALS! Kotobuki Ran
tag,sister-sister incest,1,0,1,0,1,0.0,False,True,Simoun
tag,skateboarding,1,0,1,0,1,0.0,False,True,SK∞
tag,soft tennis,1,0,1,1,0,600.0,False,True,Hoshiai no Sora
tag,uncle-niece incest,1,0,1,0,1,0.0,False,True,Subete ga F ni Naru
tag,wheelchair basketball,1,0,1,1,0,600.0,False,True,Breakers
tag,Moby-Dick,2,0,2,0,2,0.0,False,True,Hakugei Densetsu | Bakemono no Ko
tag,The Spider`s Thread,2,0,2,0,2,0.0,False,True,Aoi Bungaku Series | Kumo no Ito
tag,acrobatics,2,0,2,2,0,400.0,False,True,Kaleido Star | Kaleido Star: Aratanaru Tsubasa - Extra Stage
tag,art nouveau,2,0,2,0,2,0.0,False,True,Gosick | Natsuyuki Rendezvous
tag,inverted gravity,2,0,2,0,2,0.0,False,True,Sakasama no Patema | Kimetsu no Yaiba
tag,nyotaimori,2,0,2,0,2,0.0,False,True,HenSemi (TV) | Higurashi no Naku Koro ni Kira
tag,rampant biomass,2,0,2,2,0,350.0,False,True,Kemono Friends 2 | A.I.C.O. Incarnation
tag,yosakoi,2,0,2,0,2,0.0,False,True,Golden Time | Hanayamata
tag,Cinderella,3,0,3,0,3,0.0,False,True,Cinderella Monogatari | Hello Kitty no Cinderella | Burn the Witch
