mal_id,title,type,score,members,genres,tags
1,Cowboy Bebop,TV,8.75,2057323,Action|Award Winning|Sci-Fi|Fantasy|Adventure|Suspense|Comedy|Romance,Adult Cast|Space|bounty hunter|Detective|reverse trap|cyborg|Martial Arts|gunfights|swordplay|human enhancement|space travel|Gag Humor|medium awareness|sex|violence|plot continuity|Music|angst|cyberpunk|revenge|psychoactive drugs|tragedy|nanomachines|post-apocalyptic|neo-noir|gambling|air combat
5,Cowboy Bebop: Tengoku no Tobira,Movie,8.38,412138,Action|Sci-Fi|Comedy,Adult Cast|Space|bounty hunter|gunfights|plot continuity|cyberpunk|nanomachines|neo-noir|air combat|terrorism
6,Trigun,TV,8.22,834750,Action|Adventure|Sci-Fi|Comedy|Romance,Adult Cast|cyborg|alien|gunfights|Mecha|Gag Humor|violence|humanoid alien|plot continuity|angst|Western|alcohol|law and order|tragedy|post-apocalyptic
7,Witch Hunter Robin,TV,7.26,129825,Action|Drama|Mystery|Supernatural|Sci-Fi|Fantasy|Horror|Suspense|Comedy|Romance,Detective|Military|painting|bishounen|magic|ghost|Crossdressing|gunfights|Super Power|human enhancement|contemporary fantasy|Parody|violence|plot continuity|mafia|friendship|politics|racism|crime|religion|revenge|conspiracy|the arts|law and order|tragedy|coming of age|police|special squads|genetic modification|rotten world|neo-noir|gambling|training|murder|deconstruction|tone changes|thievery|terrorism
8,Bouken Ou Beet,TV,7.05,17035,Action|Adventure|Fantasy|Comedy,magic|Super Power
15,Eyeshield 21,TV,7.92,196237,Sports|Action|Adventure|Comedy,Team Sports|shota|high school|delinquent|Gag Humor|school clubs|violence|plot continuity|School|coming of age|training
16,Hachimitsu to Clover,TV,7.99,285778,Comedy|Drama|Romance|Slice of Life,Adult Cast|Love Polygon|Visual Arts|Gag Humor|art school|university|multiple couples|unrequited love|plot continuity|angst|friendship|alcohol|the arts|coming of age
17,Hungry Heart: Wild Striker,TV,7.62,27143,Sports|Action,Team Sports|association football|high school|School
18,Initial D Fourth Stage,TV,8.18,215607,Action|Drama|Romance|Sports,Racing|motorsport|street racing|plot continuity|drifting
19,Monster,TV,8.89,1329606,Drama|Mystery|Suspense|Action|Horror,Adult Cast|Detective|gunfights|plot continuity|mafia|angst|blackmail|racism|crime|revenge|conspiracy|alcohol|psychoactive drugs|law and order|tragedy|police|healthcare and medicine|murder|thievery|terrorism
20,Naruto,TV,8.02,3118223,Action|Adventure|Fantasy|Boys Love|Comedy,Martial Arts|ninja|Super Power|demon|Gag Humor|medium awareness|nudity|violence|Love Polygon|plot continuity|angst|friendship|proxy battles|School|training|rivalry
21,One Piece,TV,8.73,2681729,Action|Adventure|Fantasy|Gourmet|Comedy,bounty hunter|navy|fairy|mermaid|Samurai|pirate|cyborg|zombie|Martial Arts|dragon|gunfights|swordplay|Super Power|Time Travel|absurdist humour|Gag Humor|Parody|violence|plot continuity|stereotypes|angst|henshin|ecchi|friendship|slavery|racism|crime|conspiracy|tragedy|special squads|war|murder|thievery|corrupt nobility|large breasts
22,Tennis no Oujisama,TV,7.86,198036,Sports|Action|Comedy|Romance,School|middle school|school clubs|tennis|plot continuity|rivalry
23,Ring ni Kakero 1,TV,6.69,5718,Sports|Action,Combat Sports|boxing|combat
24,School Rumble,TV,7.89,345374,Comedy|Romance|Action|Fantasy|Slice of Life,Gag Humor|Love Polygon|School|high school|delinquent|Super Power|contemporary fantasy|Parody|school clubs|violence|unrequited love|plot continuity|Harem|parental abandonment
25,Sunabouzu,TV,7.37,152047,Action|Adventure|Comedy|Sci-Fi|Ecchi|Romance,bounty hunter|android|bishounen|gigantic breasts|small breasts|Martial Arts|gunfights|Mecha|super deformed|Gag Humor|medium awareness|Parody|nudity|violence|plot continuity|pantsu|ecchi|crime|post-apocalyptic|large breasts
26,Texhnolyze,TV,7.77,290663,Avant Garde|Drama|Mystery|Sci-Fi|Suspense|Action,Adult Cast|Organized Crime|Psychological|boxing|Martial Arts|gunfights|swordplay|cyberpunk|dystopia|tragedy|neo-noir|murder|end of the world
27,Trinity Blood,TV,7.3,200600,Action|Fantasy|Sci-Fi|Comedy,Vampire|android|gunfights|Super Power|human enhancement|absurdist humour|Gag Humor|violence|plot continuity|anti-war|conspiracy|special squads|nanomachines|post-apocalyptic
28,Yakitate!! Japan,TV,7.91,105360,Comedy|Gourmet|Action,Time Travel|Gag Humor|medium awareness|Parody|plot continuity|stereotypes|baking|mafia|working life
29,Zipang,TV,7.58,25596,Action|Drama|Sci-Fi,Adult Cast|Historical|Military|Time Travel|navy|air force|gunfights|plot continuity|war|hard science fiction
30,Shinseiki Evangelion,TV,8.37,2029741,Avant Garde|Award Winning|Drama|Sci-Fi|Suspense|Action|Romance,Mecha|Military|navy|middle school|air force|small breasts|alien|robot|gunfights|human enhancement|piloted robot|nudity|violence|plot continuity|pantsu|angst|ecchi|School|disaster|religion|conspiracy|genetic modification|post-apocalyptic|war|super robot|organic mecha|Christianity|deconstruction|end of the world
31,Shinseiki Evangelion Movie: Shi to Shinsei,Movie,7.5,280695,Drama|Sci-Fi|Suspense|Action,Mecha|Psychological|Military|navy|middle school|air force|alien|robot|gunfights|human enhancement|piloted robot|angst|School|disaster|conspiracy|genetic modification|post-apocalyptic
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,8.57,1043349,Avant Garde|Drama|Sci-Fi|Suspense|Action,Mecha|Psychological|Military|robot|gunfights|piloted robot|plot continuity|angst|disaster|tragedy|post-apocalyptic|war|deconstruction|end of the world
33,Kenpuu Denki Berserk,TV,8.61,767371,Action|Adventure|Drama|Fantasy|Horror|Boys Love|Romance,Gore|Military|Psychological|swordplay|demon|high fantasy|contemporary fantasy|dark fantasy|netorare|feudal warfare|plot continuity|angst|friendship|dystopia|tragedy|war|rotten world|training|murder|deconstruction
43,Koukaku Kidoutai,Movie,8.27,705067,Award Winning|Mystery|Sci-Fi|Suspense|Action,Adult Cast|Detective|Mecha|Psychological|cyborg|human enhancement|cyberpunk|law and order|police|special squads|rotten world
