mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
11061,Hunter x Hunter (2011),TV,9.03,3205575,8,Action|Adventure|Fantasy,256,183,8221.0,5365.0,0.0023399200852918475,9.165084855313385e-05,0.00011742819732589613,1,8.0,10.0
30,Shinseiki Evangelion,TV,8.37,2039711,44,Action|Drama|Mecha|Mystery|Psychological|Sci-Fi,394,314,4157.0,3181.0,0.002214624512008157,0.00010847039956065057,0.00012029873684847085,2,44.0,251.0
40748,Jujutsu Kaisen,TV,8.5,3061150,11,Action|Drama|Supernatural,138,96,5880.0,5072.0,0.002207398866502932,7.484536912253193e-05,8.044855923570771e-05,3,11.0,163.0
1535,Death Note,TV,8.62,4319618,2,Mystery|Psychological|Supernatural|Thriller,273,238,6929.0,4681.0,0.002060173605371341,0.00011408981804575448,0.00013193956783841631,4,2.0,98.0
28851,Koe no Katachi,Movie,8.93,2630893,19,Drama|Romance|Slice of Life,140,95,8218.0,7461.0,0.0020058198467398213,0.17377843441930613,0.18614488507162077,5,19.0,18.0
38000,Kimetsu no Yaiba,TV,8.4,3467951,5,Action|Adventure|Drama|Fantasy|Supernatural,217,123,4898.0,3841.0,0.0019980842964056147,0.00014340839261200056,0.00015487283608135106,6,5.0,226.0
32281,Kimi no Na wa.,Movie,8.82,3040773,12,Drama|Romance|Supernatural,138,110,8159.0,7708.0,0.001903609042930427,0.19391208071354757,0.20733643725268308,7,12.0,36.0
21,One Piece,TV,8.73,2701642,17,Action|Adventure|Comedy|Drama|Fantasy,269,218,4026.0,3252.0,0.0018999340158456469,2.84794476903699e-05,3.1775642510839576e-05,8,17.0,51.0
2001,Tengen Toppa Gurren Lagann,TV,8.64,1775700,66,Action|Comedy|Drama|Mecha|Romance|Sci-Fi,310,247,3809.0,2659.0,0.0018898559001109892,1.2460428550587489e-05,1.344019338620737e-05,9,66.0,89.0
9756,Mahou Shoujo Madoka★Magica,TV,8.39,1417676,106,Action|Drama|Fantasy|Mahou Shoujo|Psychological|Thriller,362,300,4073.0,2933.0,0.0018009207891171647,0.00020511813608491952,0.0002485118794489709,10,106.0,233.0
42897,Horimiya,TV,8.18,1655204,79,Comedy|Romance|Slice of Life,150,100,6084.0,4490.0,0.0017172502304455758,0.0009611200541131176,0.0017509970284694401,11,79.0,468.0
1575,Code Geass: Hangyaku no Lelouch,TV,8.71,2484211,22,Action|Drama|Mecha|Sci-Fi|Thriller,317,278,3902.0,3351.0,0.001649789245439764,8.616776251331364e-05,9.474489426243336e-05,12,22.0,61.0
16498,Shingeki no Kyojin,TV,8.57,4382519,1,Action|Drama|Fantasy|Mystery,260,219,4160.0,3777.0,0.0016168802059796856,0.00012653334864220432,0.00014050059919029195,13,1.0,124.0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,8.23,1971676,48,Comedy|Drama|Mystery|Psychological|Romance|Supernatural,162,111,5238.0,4081.0,0.001593645339124273,0.004621123196123934,0.00573880240301312,14,48.0,403.0
32182,Mob Psycho 100,TV,8.49,2332601,27,Action|Comedy|Drama|Psychological|Slice of Life|Supernatural,151,114,4103.0,3744.0,0.001563061219276771,0.00021457638883048134,0.00023040699073324423,15,27.0,172.0
1,Cowboy Bebop,TV,8.75,2065698,41,Action|Adventure|Drama|Sci-Fi,222,171,3358.0,2619.0,0.0015434592069156264,1.1360587776677097e-05,1.2683807332684456e-05,16,41.0,48.0
18679,Kill la Kill,TV,8.03,1854719,59,Action|Comedy|Ecchi,212,169,3013.0,2248.0,0.0014716822324227202,4.830523594651742e-06,6.695219511454125e-06,17,59.0,690.0
37521,Vinland Saga,TV,8.78,1837499,61,Action|Adventure|Drama,112,82,3763.0,3396.0,0.001451369944301076,0.00021245007738959786,0.00022929400294532487,18,61.0,40.0
9253,Steins;Gate,TV,9.07,2825671,14,Drama|Psychological|Sci-Fi|Thriller,209,180,4710.0,4128.0,0.0014431168800750252,0.0012967144921915677,0.0014378407663606697,19,14.0,5.0
1960,Sore Ike! Anpanman,TV,6.78,5054,9584,Comedy|Fantasy,50,49,409.0,275.0,0.0014044766998864819,1.7736551287213086e-07,1.4208131494693919e-08,20,9148.0,6253.0
37520,Dororo,TV,8.26,1384215,109,Action|Adventure|Drama|Supernatural,133,84,3453.0,2923.0,0.001402357635886183,0.0004901715415539685,0.0005297947482764123,21,109.0,364.0
30276,One Punch Man,TV,8.47,3532928,4,Action|Comedy|Sci-Fi|Supernatural,201,159,3589.0,3162.0,0.0014002780875099461,0.00010352813554267085,0.00010944134223919952,22,4.0,178.0
269,Bleach,TV,8.0,2219708,33,Action|Adventure|Supernatural,222,167,4858.0,2740.0,0.0013592375489852849,1.8758478796607182e-05,2.1007128408440315e-05,23,33.0,733.0
5114,Fullmetal Alchemist: Brotherhood,TV,9.11,3699915,3,Action|Adventure|Drama|Fantasy,201,182,3577.0,3464.0,0.0013346491838263556,0.00014913298321794197,0.0001519273258397628,24,3.0,3.0
235,Meitantei Conan,TV,8.18,379551,729,Adventure|Comedy|Mystery|Psychological,174,144,1356.0,1042.0,0.001319309276333578,1.1463349516693606e-05,1.1572242036561375e-05,25,729.0,468.0
5680,K-On!,TV,7.87,1133846,157,Comedy|Music|Slice of Life,262,205,3257.0,2319.0,0.0013039235081743414,3.9240378451333325e-05,5.400278960346635e-05,26,157.0,977.0
