mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
11061,Hunter x Hunter (2011),TV,9.03,3205575,8,Action|Adventure|Fantasy,251,178,8183.0,5333.0,0.0025908315088357804,9.151459679423411e-05,0.00011728296697229976,1,8.0,10.0
30,Shinseiki Evangelion,TV,8.37,2039711,44,Action|Drama|Mecha|Mystery|Psychological|Sci-Fi,386,304,4103.0,3140.0,0.0025358962973089268,0.0001084939090805181,0.0001203224347450788,2,44.0,251.0
40748,Jujutsu Kaisen,TV,8.5,3061150,11,Action|Drama|Supernatural,135,93,5851.0,5049.0,0.002523616082695125,7.467687592370805e-05,8.024597661486975e-05,3,11.0,163.0
28851,Koe no Katachi,Movie,8.93,2630893,19,Drama|Romance|Slice of Life,139,94,8216.0,7459.0,0.0023574795142914063,0.17396456733734506,0.1863348719494699,4,19.0,18.0
1535,Death Note,TV,8.62,4319618,2,Mystery|Psychological|Supernatural|Thriller,272,237,6920.0,4678.0,0.0023230933192018525,0.00011401905826465872,0.00013180659250861722,5,2.0,98.0
38000,Kimetsu no Yaiba,TV,8.4,3467951,5,Action|Adventure|Drama|Fantasy|Supernatural,213,118,4872.0,3815.0,0.0023018798965188905,0.00014322769302196545,0.00015465821877503803,6,5.0,226.0
32281,Kimi no Na wa.,Movie,8.82,3040773,12,Drama|Romance|Supernatural,138,110,8159.0,7708.0,0.002253439936241576,0.19412541451568688,0.2075497291263475,7,12.0,36.0
2001,Tengen Toppa Gurren Lagann,TV,8.64,1775700,66,Action|Comedy|Drama|Mecha|Romance|Sci-Fi,305,242,3772.0,2635.0,0.0022454779422385993,1.2453831544938829e-05,1.3429583234466304e-05,8,66.0,89.0
9756,Mahou Shoujo Madoka★Magica,TV,8.39,1417676,106,Action|Drama|Fantasy|Mahou Shoujo|Psychological|Thriller,359,295,4036.0,2908.0,0.002130973857997707,0.00020513012191152852,0.0002485021376327474,9,106.0,233.0
42897,Horimiya,TV,8.18,1655204,79,Comedy|Romance|Slice of Life,149,99,6070.0,4479.0,0.001969698457640939,0.0009587257809913653,0.001748754944893684,10,79.0,468.0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,8.23,1971676,48,Comedy|Drama|Mystery|Psychological|Romance|Supernatural,162,111,5228.0,4071.0,0.0018299753979213514,0.004604970828560118,0.005719507030234207,11,48.0,403.0
16498,Shingeki no Kyojin,TV,8.57,4382519,1,Action|Drama|Fantasy|Mystery,250,209,4074.0,3739.0,0.0018218102625358497,0.00012635467309894384,0.0001404023560314235,12,1.0,124.0
1,Cowboy Bebop,TV,8.75,2065698,41,Action|Adventure|Drama|Sci-Fi,219,168,3331.0,2604.0,0.0018180136454667305,1.1356443377096569e-05,1.2665001440859323e-05,13,41.0,48.0
18679,Kill la Kill,TV,8.03,1854719,59,Action|Comedy|Ecchi,211,168,3002.0,2240.0,0.0018096647604903275,4.826740618430823e-06,6.6851869235338155e-06,14,59.0,690.0
1575,Code Geass: Hangyaku no Lelouch,TV,8.71,2484211,22,Action|Drama|Mecha|Sci-Fi|Thriller,307,262,3796.0,3263.0,0.0017967849893292388,8.604175226449759e-05,9.45149379943372e-05,15,22.0,61.0
32182,Mob Psycho 100,TV,8.49,2332601,27,Action|Comedy|Drama|Psychological|Slice of Life|Supernatural,148,111,4075.0,3725.0,0.0017894910206989092,0.00021468836098907778,0.0002304629847185188,16,27.0,172.0
21,One Piece,TV,8.73,2701642,17,Action|Adventure|Comedy|Drama|Fantasy,195,146,3401.0,2931.0,0.0017864279801535709,2.8392454696136674e-05,3.141764398204385e-05,17,17.0,51.0
37521,Vinland Saga,TV,8.78,1837499,61,Action|Adventure|Drama,110,80,3751.0,3384.0,0.0016782964760980014,0.00021231116541512883,0.00022878771343603441,18,61.0,40.0
9253,Steins;Gate,TV,9.07,2825671,14,Drama|Psychological|Sci-Fi|Thriller,206,177,4673.0,4091.0,0.0016640947293349456,0.0012971298117990188,0.001437837240922916,19,14.0,5.0
37520,Dororo,TV,8.26,1384215,109,Action|Adventure|Drama|Supernatural,132,82,3443.0,2913.0,0.0016571459128061697,0.0004903572468176324,0.0005299987867451884,20,109.0,364.0
30276,One Punch Man,TV,8.47,3532928,4,Action|Comedy|Sci-Fi|Supernatural,197,154,3550.0,3135.0,0.001603239061561817,0.00010351972403529557,0.00010942691772883243,21,4.0,178.0
5680,K-On!,TV,7.87,1133846,157,Comedy|Music|Slice of Life,259,202,3229.0,2297.0,0.0015448156960757937,3.907252177180112e-05,5.387343563375764e-05,22,157.0,977.0
269,Bleach,TV,8.0,2219708,33,Action|Adventure|Supernatural,212,157,4769.0,2678.0,0.0015292622821864996,1.8671323846791023e-05,2.088368612889193e-05,23,33.0,733.0
5081,Bakemonogatari,TV,8.32,1496369,98,Comedy|Drama|Mystery|Psychological|Romance|Supernatural,241,181,3608.0,2664.0,0.0015201216814170586,0.0008596856245159997,0.0008351918232934214,24,98.0,293.0
5114,Fullmetal Alchemist: Brotherhood,TV,9.11,3699915,3,Action|Adventure|Drama|Fantasy,198,179,3545.0,3445.0,0.00148523523412805,0.00014911443655521122,0.00015189303167707926,25,3.0,3.0
918,Gintama,TV,8.93,1159530,147,Action|Comedy|Drama|Sci-Fi,313,241,2441.0,1846.0,0.0014761516145167122,1.447548142744456e-05,1.590149176699881e-05,26,147.0,18.0
339,Serial Experiments Lain,TV,8.1,907266,230,Drama|Mystery|Psychological|Sci-Fi|Supernatural,142,113,2749.0,2309.0,0.0014753828506627793,4.90259400844313e-05,5.658482989997213e-05,27,231.0,586.0
33255,Saiki Kusuo no Ψ-nan,TV,8.41,1261637,131,Comedy|Slice of Life|Supernatural,168,125,2756.0,2218.0,0.0014639187614631914,3.7751790629080934e-05,5.679282468725155e-05,28,131.0,216.0
10165,Nichijou,TV,8.47,987116,198,Comedy|Slice of Life,199,141,2376.0,1835.0,0.0014482497314134799,5.236400160110195e-06,5.213179363875269e-06,29,198.0,178.0
37430,Tensei shitara Slime Datta Ken,TV,8.13,1656451,78,Action|Adventure|Comedy|Fantasy,160,93,4234.0,2831.0,0.001425457728037438,1.100387224197926e-05,1.2884093867602419e-05,30,78.0,536.0
52991,Sousou no Frieren,TV,9.26,1464830,103,Adventure|Drama|Fantasy,141,78,3350.0,2637.0,0.0014080687411308463,0.004369632296981636,0.004689630561363877,31,103.0,1.0
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,8.4,1951447,51,Comedy|Psychological|Romance|Slice of Life,142,94,4090.0,3164.0,0.001384197522530345,0.00039721085891867685,0.00032074710081456966,32,51.0,226.0
34599,Made in Abyss,TV,8.62,1560169,92,Adventure|Drama|Fantasy|Horror|Mystery|Sci-Fi,147,126,3100.0,2703.0,0.001380952318298628,0.0002768053867602184,0.0003115099874223525,33,91.0,98.0
33352,Violet Evergarden,TV,8.69,2008156,46,Drama|Fantasy|Slice of Life,168,136,3654.0,3244.0,0.0013427627665916141,0.041215370127692635,0.04417324254419294,34,46.0,70.0
47917,Bocchi the Rock!,TV,8.73,803159,286,Comedy|Music|Slice of Life,128,80,2749.0,2156.0,0.0013311731120435192,7.720952656965295e-05,9.936564704575637e-05,35,286.0,51.0
