mal_id,title,type,score,members,popularity,genres,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,pagerank_rank,members_rank,score_rank
235,Meitantei Conan,TV,8.18,379551,729,Adventure|Comedy|Mystery|Psychological,75,74,593.0,386.0,0.002793882613542826,4.7688831037409815e-05,0.00010394533753694509,1,729.0,468.0
21,One Piece,TV,8.73,2701642,17,Action|Adventure|Comedy|Drama|Fantasy,75,74,625.0,321.0,0.0026250224353192536,1.2495774818526914e-18,-1.652592686500359e-17,2,17.0,51.0
1960,Sore Ike! Anpanman,TV,6.78,5054,9584,Comedy|Fantasy,43,41,387.0,246.0,0.0019601198830486825,-5.534283193989833e-19,-1.074133346399876e-18,3,9148.0,6253.0
1412,Lupin III,TV,7.63,112308,2224,Adventure|Comedy,51,51,380.0,279.0,0.0017956922198593284,1.803458783028839e-07,2.7469975891131117e-07,4,2220.0,1637.0
966,Crayon Shin-chan,TV,7.82,94753,2500,Comedy|Ecchi|Slice of Life,43,42,338.0,220.0,0.0017533022235842453,-1.138115163690082e-18,-5.7803399631781674e-18,5,2481.0,1095.0
80,Kidou Senshi Gundam,TV,7.78,152581,1761,Drama|Mecha|Sci-Fi,52,53,360.0,176.0,0.0016388798803242228,-7.691577361046692e-19,3.102664488881598e-19,6,1759.0,1193.0
527,Pokemon,TV,7.42,684342,357,Action|Adventure|Comedy|Fantasy,47,44,279.0,176.0,0.0016129339299871268,6.791276034901609e-19,1.5378535470668571e-18,7,357.0,2521.0
8687,Doraemon (2005),TV,7.78,23550,5206,Adventure|Comedy|Sci-Fi,24,24,196.0,136.0,0.0011954171543587138,3.1335824564764563e-19,8.73895533647133e-19,8,5089.0,1193.0
2471,Doraemon (1979),TV,7.9,72438,2949,Comedy|Sci-Fi,37,48,321.0,292.0,0.0011795549186242517,-4.873126203519365e-19,4.8113361618894165e-18,9,2930.0,907.0
813,Dragon Ball Z,TV,8.21,1331133,118,Action|Adventure|Comedy|Fantasy|Supernatural,36,33,283.0,192.0,0.0010504243134243302,2.8537998354372482e-18,6.317708041032713e-19,10,118.0,422.0
2222,Dr. Slump: Arale-chan,TV,7.24,18723,5675,Adventure|Comedy|Sci-Fi|Slice of Life,21,19,157.0,104.0,0.0008118080449562413,3.631095338850548e-19,7.593361272240841e-19,11,5549.0,3501.0
1735,Naruto: Shippuuden,TV,8.29,2760681,15,Action|Adventure|Comedy|Drama|Fantasy|Supernatural,15,15,117.0,86.0,0.0006470806220761392,-6.560771372921711e-19,-8.732629648283655e-18,12,15.0,330.0
1564,Pokemon Advanced Generation,TV,7.15,204428,1380,Action|Adventure|Comedy|Fantasy,17,17,151.0,105.0,0.0006379481940551415,-3.386059292352282e-19,2.3089826629088036e-18,13,1379.0,4072.0
3545,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,TV,7.82,21933,5350,Comedy|Slice of Life,15,15,47.0,41.0,0.0005536777585917192,-3.789873500964022e-20,-8.48555749351622e-19,14,5245.0,1095.0
1254,Saint Seiya,TV,7.77,205315,1371,Action|Adventure|Fantasy|Sci-Fi,12,11,98.0,68.0,0.0005203453224865969,3.1394223896346674e-19,-1.507526628784223e-18,15,1370.0,1229.0
7261,Mameshiba,Special,6.95,5961,8991,Comedy,11,11,86.0,46.0,0.0005093639269393177,-8.010689072152156e-21,-6.151962288305516e-18,16,8651.0,5200.0
1491,Ginga Tetsudou 999,TV,7.78,46405,3790,Adventure|Drama|Mecha|Sci-Fi,16,17,87.0,91.0,0.0005036541541251526,2.990582854869965e-19,3.241863628173092e-18,17,3745.0,1193.0
22,Tennis no Oujisama,TV,7.85,198089,1422,Action|Comedy|Sports,11,10,96.0,59.0,0.0004822626165651445,-5.828747512294139e-19,-1.4950162662373702e-18,18,1419.0,1030.0
210,Ranma ½,TV,7.78,284932,992,Action|Comedy|Romance|Slice of Life,15,14,72.0,58.0,0.00047770334361950216,8.847807306076661e-20,3.813122355060742e-18,19,991.0,1193.0
1565,Pokemon Diamond & Pearl,TV,7.33,164159,1667,Action|Adventure|Comedy|Fantasy,16,16,128.0,86.0,0.00047466118418530934,1.6659006353142483e-19,1.6649134681774091e-18,20,1664.0,2966.0
1575,Code Geass: Hangyaku no Lelouch,TV,8.71,2484211,22,Action|Drama|Mecha|Sci-Fi|Thriller,16,17,106.0,88.0,0.0004717242793660243,1.9082604106902457e-19,2.471093257664299e-19,21,22.0,61.0
14131,Girls & Panzer,TV,7.54,336766,841,Action|Sports,12,11,95.0,41.0,0.00046170024390433125,-9.410647796302717e-20,1.4346562171418455e-18,22,842.0,1990.0
44042,Holo no Graffiti,ONA,8.14,58510,3326,Action|Adventure|Comedy,9,8,25.0,20.0,0.0004440196533468502,-6.99275417841843e-21,-1.2001799735496288e-18,23,3288.0,520.0
19291,Pokemon XY,TV,7.48,196850,1427,Action|Adventure|Comedy|Fantasy,14,14,115.0,81.0,0.0004426064436900565,-6.704235194692605e-19,-2.347507192076302e-19,24,1424.0,2242.0
269,Bleach,TV,8.0,2219708,33,Action|Adventure|Supernatural,11,11,89.0,62.0,0.0004364480250990306,2.291718450833543e-19,-5.975128465344914e-18,25,33.0,733.0
1293,Urusei Yatsura,TV,7.75,99519,2410,Comedy|Drama|Romance|Sci-Fi|Slice of Life,11,11,91.0,69.0,0.00043201020611656623,2.4442044853363244e-19,-1.5039719197042074e-18,26,2406.0,1276.0
45,Rurouni Kenshin: Meiji Kenkaku Romantan,TV,8.27,526147,488,Action|Adventure|Comedy|Drama|Romance,11,11,89.0,67.0,0.0004315026747010794,5.093365588259007e-19,2.4674609234254856e-18,27,489.0,354.0
40351,Pokemon (2019),TV,7.55,104292,2351,Action|Adventure|Comedy|Fantasy,10,10,67.0,52.0,0.0004269848100247172,-6.066694391676214e-19,8.17190077778071e-20,28,2342.0,1942.0
3915,Time Bokan,TV,6.55,3395,10844,Adventure|Comedy|Mecha,11,10,49.0,47.0,0.00042693350356983687,-1.0105786003060993e-19,-6.365828082200785e-19,29,10299.0,7913.0
2582,Soukou Kihei Votoms,TV,7.72,30115,4689,Action|Drama|Mecha|Mystery|Romance|Sci-Fi,12,12,98.0,67.0,0.00042571661241659793,4.79854173190404e-19,3.4655881421240294e-19,30,4603.0,1361.0
552,Digimon Adventure,TV,7.79,427410,633,Action|Adventure|Comedy|Drama|Fantasy|Sci-Fi,14,14,54.0,51.0,0.0004225045368723416,-2.7569422418173353e-19,-1.7366830513680633e-18,31,633.0,1173.0
37423,Shiawase Pasta Story,ONA,5.72,1124,14897,Slice of Life,7,7,46.0,64.0,0.00040285113279708054,9.096397078868584e-19,1.4579789093843948e-18,32,13369.0,12977.0
508,Tottoko Hamtarou,TV,7.03,65288,3123,Adventure|Comedy|Slice of Life,11,11,89.0,65.0,0.0004024577070572479,-1.1724498672636674e-18,1.984666197269458e-18,33,3097.0,4788.0
20,Naruto,TV,8.02,3130379,9,Action|Adventure|Comedy|Drama|Fantasy|Supernatural,8,8,73.0,52.0,0.0003858477742284617,-6.563119598317157e-19,-2.9648009803034337e-18,34,9.0,704.0
967,Hokuto no Ken,TV,7.96,143950,1846,Action|Drama|Sci-Fi,13,13,97.0,70.0,0.00037250433126175914,3.189078917171955e-19,8.801691132811421e-19,35,1843.0,796.0
2213,Black Jack (TV),TV,7.62,41246,4052,Drama,8,9,66.0,52.0,0.0003718221997060599,2.2108595601972304e-19,-1.5664042924953348e-18,36,3994.0,1672.0
516,Keroro Gunsou,TV,7.71,83968,2699,Comedy|Sci-Fi,8,8,69.0,47.0,0.0003652776815121571,-3.9090723742055787e-20,2.3734023448210813e-18,37,2685.0,1389.0
32212,Ensemble Stars!,TV,6.93,52696,3516,Music|Slice of Life,7,5,53.0,30.0,0.0003580447007636407,6.524722781344186e-20,-1.1112873485390742e-18,38,3480.0,5313.0
392,Yuu☆Yuu☆Hakusho,TV,8.46,756406,308,Action|Adventure|Comedy|Supernatural,7,7,64.0,40.0,0.00034993236386483476,7.673153079331631e-20,-1.022181429240732e-18,39,308.0,184.0
