case_type,interpretation_hint,userID,user_level,profile_size,holdout_animeID,heldout_title,heldout_catalog_score,advanced_split_popularity_baseline_rank,xgboost_pairwise_ranker_rank,xgboost_pairwise_ranker_holdout_model_score,top1_animeID,top1_title,top12_titles,candidate_pool_size
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1834546752,Casual,58,31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.47,13,1,2.6957006454467773,31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,"Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day | Sakamoto desu ga? | Servant x Service | Kanojo to Kanojo no Neko: Everything Flows | Mirai Nikki (TV): Ura Mirai Nikki | Vivy: Fluorite Eye's Song | Tamako Market | Konjiki no Gash Bell!! | Mangaka-san to Assistant-san to The Animation Specials | Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari | Kobayashi-san Chi no Maid Dragon: Valentine, Soshite Onsen! - Amari Kitai Shinaide Kudasai | Bleach: Sennen Kessen-hen",101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1841549802,Casual,95,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.22,18,1,3.9338603019714355,372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Cardcaptor Sakura Movie 2: Fuuin Sareta Card | Trinity Blood | Yu☆Gi☆Oh! | Genshiken OVA | Omoide no Marnie | Kowarekake no Orgel | InuYasha Movie 3: Tenka Hadou no Ken | Natsume Yuujinchou Movie: Utsusemi ni Musubu | Aa! Megami-sama! Movie | Star☆Twinkle Precure | Beelzebub | Guilty Crown,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,991561579,Fan,196,8424,MM!,7.01,14,1,3.5461649894714355,8424,MM!,MM! | Ichigo 100% | Death Parade | Heroic Age | Final Fantasy VII: Advent Children | Shigofumi | Hajime no Ippo: New Challenger | Kimetsu no Yaiba: Yuukaku-hen | Re:Zero kara Hajimeru Isekai Seikatsu | Yuukoku no Moriarty Part 2 | Nazo no Kanojo X: Nazo no Natsu Matsuri | Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,995036847,Fan,263,55994,Sword Art Online Alternative: Gun Gale Online II,7.15,16,1,3.283757209777832,55994,Sword Art Online Alternative: Gun Gale Online II,Sword Art Online Alternative: Gun Gale Online II | Carole & Tuesday | Gridman Universe | Guimi Zhi Zhu: Xiaochou Pian | The iDOLM@STER | Shinsekai yori | Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA | Durarara!!x2 Ketsu: Dufufufu!! | Rikei ga Koi ni Ochita no de Shoumei shitemita. | Birdie Wing: Golf Girls' Story Season 2 | Ga-Rei: Zero | Kidou Senshi Gundam SEED Destiny,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,997164511,Casual,76,41491,Nanatsu no Taizai: Funnu no Shinpan,6.57,19,1,3.6301870346069336,41491,Nanatsu no Taizai: Funnu no Shinpan,"Nanatsu no Taizai: Funnu no Shinpan | Mob Psycho 100 II | Baki | Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari | Kanojo, Okarishimasu 2nd Season | Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara | Hitsugi no Chaika: Avenging Battle | JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen | Kemono Friends | Kuma Kuma Kuma Bear | Senyuu. | Level 1 dakedo Unique Skill de Saikyou desu",101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1000941536,Casual,114,60,Chrno Crusade,7.6,18,1,1.5257047414779663,60,Chrno Crusade,Chrno Crusade | Yakusoku no Neverland | Made in Abyss | Nana | Urusei Yatsura | Gakkou no Kaidan | NieR:Automata Ver1.1a | Fullmetal Alchemist: Brotherhood Specials | Lupin III: The First | Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland | Sakamoto Days Part 2 | Lupin the IIIrd: Chikemuri no Ishikawa Goemon,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,2144994217,Casual,79,12117,Meitantei Conan Movie 16: 11-ninme no Striker,7.7,29,1,3.350432872772217,12117,Meitantei Conan Movie 16: 11-ninme no Striker,"Meitantei Conan Movie 16: 11-ninme no Striker | Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen | Komi-san wa, Comyushou desu. | Kindaichi Shounen no Jikenbo Returns | Ansatsu Kyoushitsu: Jump Festa 2013 Special | Nichijou | .hack//Sign | B-Project: Kodou*Ambitious | Nobunaga Concerto | Princess Principal | One Piece Film: Gold | Shoujo-tachi wa Kouya wo Mezasu",101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,2144205738,Fan,236,1562,Yamato Nadeshiko Shichihenge♥,7.71,14,1,3.4951117038726807,1562,Yamato Nadeshiko Shichihenge♥,"Yamato Nadeshiko Shichihenge♥ | Nurarihyon no Mago | Hiiro no Kakera 2nd Season | Mangaka-san to Assistant-san to The Animation | Jaku-Chara Tomozaki-kun | Kono Danshi, Ningyo Hiroimashita. | Dandadan 2nd Season | Mitsu x Mitsu Drops | 2.43: Seiin Koukou Danshi Volley-bu | Phi Brain: Kami no Puzzle | Sword Art Online: Extra Edition | Isekai wa Smartphone to Tomo ni.",101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,1868276198,Casual,144,38731,Diamond no Ace: Act II,8.28,24,1,2.9967119693756104,38731,Diamond no Ace: Act II,Diamond no Ace: Act II | Gyakkyou Burai Kaiji: Ultimate Survivor | Inuyashiki | Deadman Wonderland | Little Witch Academia (TV) | Fairy Tail: Final Series | Guilty Crown | Owari no Seraph: Nagoya Kessen-hen | Net-juu no Susume | Inazuma Eleven Go: Galaxy | Re:Creators | Shounen Onmyouji,101
strong_personalization_case,Profile-level tuned product hybrid recovered a liked title that popularity did not place in the visible 12-item row.,961849041,Fan,235,12117,Meitantei Conan Movie 16: 11-ninme no Striker,7.7,32,1,2.946485996246338,12117,Meitantei Conan Movie 16: 11-ninme no Striker,Meitantei Conan Movie 16: 11-ninme no Striker | Ranma ½ | Uta no☆Prince-sama♪ Maji Love 1000% | Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! | 07-Ghost | Kindaichi Shounen no Jikenbo Returns 2nd Season | Kakkou no Iinazuke | Kidou Senshi Gundam: Suisei no Majo | Girls & Panzer: Saishuushou Part 1 | Quanzhi Gaoshou | Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season | Gakuen Utopia Manabi Straight!,101
