mal_id,title,type,score,members,episodes,duration,total_watch_minutes,aired_year,genres,demographics,rating,beginner_entry_score,why_entry_level
52991,Sousou no Frieren,TV,9.26,1464830,28,24.0,672.0,2023.0,Adventure|Drama|Fantasy,Shounen,PG-13 - Teens 13 or older,0.7807903862281069,high-score popular short/medium-length series
38524,Shingeki no Kyojin Season 3 Part 2,TV,9.05,2608889,10,23.0,230.0,2019.0,Action|Drama|Fantasy|Mystery,Shounen,R - 17+ (violence & profanity),0.7802062722567096,high-score popular short/medium-length series
9253,Steins;Gate,TV,9.07,2825671,24,24.0,576.0,2011.0,Drama|Psychological|Sci-Fi|Thriller,Seinen,PG-13 - Teens 13 or older,0.7640429431017008,high-score popular short/medium-length series
28851,Koe no Katachi,Movie,8.93,2630893,1,130.0,130.0,2016.0,Drama|Romance|Slice of Life,Shounen,PG-13 - Teens 13 or older,0.7486194707659796,high-score popular movie; low commitment
32281,Kimi no Na wa.,Movie,8.82,3040773,1,106.0,106.0,2016.0,Drama|Romance|Supernatural,,PG-13 - Teens 13 or older,0.7404871011691445,high-score popular movie; low commitment
5114,Fullmetal Alchemist: Brotherhood,TV,9.11,3699915,64,25.0,1600.0,2009.0,Action|Adventure|Drama|Fantasy,Shounen,R - 17+ (violence & profanity),0.7363772499436527,high-score popular short/medium-length series
40028,Shingeki no Kyojin: The Final Season,TV,8.79,2304730,16,23.0,368.0,2020.0,Action|Drama|Fantasy|Mystery,Shounen,R - 17+ (violence & profanity),0.724681696071566,high-score popular short/medium-length series
16498,Shingeki no Kyojin,TV,8.57,4382519,25,24.0,600.0,2013.0,Action|Drama|Fantasy|Mystery,Shounen,R - 17+ (violence & profanity),0.7151032448377582,high-score popular short/medium-length series
35760,Shingeki no Kyojin Season 3,TV,8.65,2681506,12,23.0,276.0,2018.0,Action|Drama|Fantasy|Mystery,Shounen,R - 17+ (violence & profanity),0.7048708418929956,high-score popular short/medium-length series
37521,Vinland Saga,TV,8.78,1837499,24,24.0,576.0,2019.0,Action|Adventure|Drama,Seinen,R - 17+ (violence & profanity),0.7002276794193503,high-score popular short/medium-length series
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,8.95,1120777,13,23.0,299.0,2022.0,Comedy|Psychological|Romance|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6997874837636581,high-score popular short/medium-length series
37510,Mob Psycho 100 II,TV,8.78,1736797,13,24.0,312.0,2019.0,Action|Comedy|Drama|Psychological|Slice of Life|Supernatural,Shounen,PG-13 - Teens 13 or older,0.6954356391446708,high-score popular short/medium-length series
2904,Code Geass: Hangyaku no Lelouch R2,TV,8.92,1964303,25,24.0,600.0,2008.0,Action|Drama|Mecha|Sci-Fi|Thriller,Seinen,R - 17+ (violence & profanity),0.6952523616656171,high-score popular short/medium-length series
48583,Shingeki no Kyojin: The Final Season Part 2,TV,8.77,1574589,12,23.0,276.0,2022.0,Action|Drama|Fantasy|Mystery|Psychological,Shounen,R - 17+ (violence & profanity),0.6952410325788659,high-score popular short/medium-length series
40748,Jujutsu Kaisen,TV,8.5,3061150,24,23.0,552.0,2020.0,Action|Drama|Supernatural,Shounen,R - 17+ (violence & profanity),0.6949192573476914,high-score popular short/medium-length series
25777,Shingeki no Kyojin Season 2,TV,8.54,3034973,12,25.0,300.0,2017.0,Action|Drama|Fantasy|Mystery,Shounen,R - 17+ (violence & profanity),0.6916227108487683,high-score popular short/medium-length series
33352,Violet Evergarden,TV,8.69,2008156,13,24.0,312.0,2018.0,Drama|Fantasy|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6877195535026601,high-score popular short/medium-length series
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,8.69,1754260,11,26.0,286.0,2021.0,Action|Adventure|Fantasy|Supernatural,Shounen,R - 17+ (violence & profanity),0.6862272383368703,high-score popular short/medium-length series
1535,Death Note,TV,8.62,4319618,37,23.0,851.0,2006.0,Mystery|Psychological|Supernatural|Thriller,Shounen,R - 17+ (violence & profanity),0.6849679535921154,high-score popular short/medium-length series
30276,One Punch Man,TV,8.47,3532928,12,24.0,288.0,2015.0,Action|Comedy|Sci-Fi|Supernatural,Seinen,R - 17+ (violence & profanity),0.684864018764495,high-score popular short/medium-length series
38000,Kimetsu no Yaiba,TV,8.4,3467951,26,23.0,598.0,2019.0,Action|Adventure|Drama|Fantasy|Supernatural,Shounen,R - 17+ (violence & profanity),0.6836102459801346,high-score popular short/medium-length series
23273,Shigatsu wa Kimi no Uso,TV,8.64,2436947,22,22.0,484.0,2014.0,Drama|Music|Romance|Slice of Life,Shounen,PG-13 - Teens 13 or older,0.6815482927365588,high-score popular short/medium-length series
51009,Jujutsu Kaisen 2nd Season,TV,8.7,1419375,23,23.0,529.0,2023.0,Action|Drama|Supernatural,Shounen,R - 17+ (violence & profanity),0.6767422025364052,high-score popular short/medium-length series
1575,Code Geass: Hangyaku no Lelouch,TV,8.71,2484211,25,24.0,600.0,2006.0,Action|Drama|Mecha|Sci-Fi|Thriller,Seinen,R+ - Mild Nudity,0.6695236573621379,high-score popular short/medium-length series
41467,Bleach: Sennen Kessen-hen,TV,8.98,713800,13,24.0,312.0,2022.0,Action|Adventure|Supernatural,Shounen,R - 17+ (violence & profanity),0.6670032534640141,high-score popular short/medium-length series
57555,Chainsaw Man Movie: Reze-hen,Movie,9.07,502782,1,100.0,100.0,2025.0,Action|Drama|Horror|Romance|Supernatural,Shounen,R - 17+ (violence & profanity),0.6639335513780212,high-score popular movie; low commitment
54492,Kusuriya no Hitorigoto,TV,8.85,859566,24,22.0,528.0,2023.0,Drama|Mystery,Seinen,PG-13 - Teens 13 or older,0.6619763564338498,high-score popular short/medium-length series
4181,Clannad: After Story,TV,8.93,1290792,24,24.0,576.0,2008.0,Drama|Romance|Slice of Life|Supernatural,Seinen,PG-13 - Teens 13 or older,0.6614118852980475,high-score popular short/medium-length series
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,8.77,1333750,10,25.0,250.0,2016.0,Comedy|Drama|Sports,Shounen,PG-13 - Teens 13 or older,0.6611275126030931,high-score popular short/medium-length series
49387,Vinland Saga Season 2,TV,8.83,868167,24,25.0,600.0,2023.0,Action|Adventure|Drama,Seinen,R - 17+ (violence & profanity),0.6591060551657943,high-score popular short/medium-length series
32182,Mob Psycho 100,TV,8.49,2332601,12,24.0,288.0,2016.0,Action|Comedy|Drama|Psychological|Slice of Life|Supernatural,Shounen,PG-13 - Teens 13 or older,0.6566181427566729,high-score popular short/medium-length series
37779,Yakusoku no Neverland,TV,8.47,2163907,12,22.0,264.0,2019.0,Drama|Fantasy|Horror|Mystery|Psychological|Thriller,Shounen,R - 17+ (violence & profanity),0.6565188976417636,high-score popular short/medium-length series
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,8.61,1509133,12,25.0,300.0,2020.0,Comedy|Psychological|Romance|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6552299343576014,high-score popular short/medium-length series
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,8.53,1788236,1,116.0,116.0,2020.0,Action|Adventure|Drama|Fantasy|Mystery|Supernatural,Shounen,R - 17+ (violence & profanity),0.6547903172298464,high-score popular movie; low commitment
44511,Chainsaw Man,TV,8.42,1986437,12,25.0,300.0,2022.0,Action|Drama|Horror|Supernatural,Shounen,R - 17+ (violence & profanity),0.649951347559044,high-score popular short/medium-length series
34599,Made in Abyss,TV,8.62,1560169,13,25.0,325.0,2017.0,Adventure|Drama|Fantasy|Horror|Mystery|Sci-Fi,Seinen,R - 17+ (violence & profanity),0.6499160518149756,high-score popular short/medium-length series
199,Sen to Chihiro no Kamikakushi,Movie,8.77,2036476,1,124.0,124.0,2001.0,Adventure|Drama|Fantasy|Supernatural,Kodomo,PG - Children,0.6471107802420465,high-score popular movie; low commitment
50265,Spy x Family,TV,8.41,1906638,12,24.0,288.0,2022.0,Action|Comedy|Slice of Life|Supernatural,Shounen,PG-13 - Teens 13 or older,0.644606971949408,high-score popular short/medium-length series
28891,Haikyuu!! Second Season,TV,8.61,1573595,25,24.0,600.0,2015.0,Comedy|Drama|Sports,Shounen,PG-13 - Teens 13 or older,0.6421194971105649,high-score popular short/medium-length series
1,Cowboy Bebop,TV,8.75,2065698,26,24.0,624.0,1998.0,Action|Adventure|Drama|Sci-Fi,Seinen,R - 17+ (violence & profanity),0.6412719591014123,high-score popular short/medium-length series
61316,Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,TV,9.19,280853,19,23.0,437.0,2026.0,Action|Adventure|Drama|Fantasy|Psychological|Romance|Thriller,Seinen,R - 17+ (violence & profanity),0.6400578017069236,high-score popular short/medium-length series
59978,Sousou no Frieren 2nd Season,TV,8.87,564667,10,24.0,240.0,2026.0,Adventure|Drama|Fantasy,Shounen,PG-13 - Teens 13 or older,0.63996796449539,high-score popular short/medium-length series
58514,Kusuriya no Hitorigoto 2nd Season,TV,8.91,519790,24,24.0,576.0,2025.0,Drama|Mystery,Seinen,PG-13 - Teens 13 or older,0.6370275416384176,high-score popular short/medium-length series
50172,Mob Psycho 100 III,TV,8.72,870415,12,23.0,276.0,2022.0,Action|Comedy|Drama|Psychological|Slice of Life|Supernatural,Shounen,PG-13 - Teens 13 or older,0.635550110445917,high-score popular short/medium-length series
37987,Violet Evergarden Movie,Movie,8.83,734478,1,140.0,140.0,2020.0,Drama|Fantasy|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6348884526510863,high-score popular movie; low commitment
42938,Fruits Basket: The Final,TV,8.93,567213,13,23.0,299.0,2021.0,Comedy|Drama|Psychological|Romance|Slice of Life|Supernatural,Shoujo,PG-13 - Teens 13 or older,0.6348342268410526,high-score popular short/medium-length series
42310,Cyberpunk: Edgerunners,ONA,8.62,1072945,10,25.0,250.0,2022.0,Action|Drama|Psychological|Sci-Fi,Seinen,R+ - Mild Nudity,0.6347518466013743,high-score popular short/medium-length series
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,8.4,1951447,12,25.0,300.0,2019.0,Comedy|Psychological|Romance|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6347235823143267,high-score popular short/medium-length series
20583,Haikyuu!!,TV,8.43,2183292,25,24.0,600.0,2014.0,Comedy|Drama|Sports,Shounen,PG-13 - Teens 13 or older,0.633176860890408,high-score popular short/medium-length series
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,8.6,1132079,12,23.0,276.0,2021.0,Adventure|Drama|Ecchi|Fantasy,Seinen,R - 17+ (violence & profanity),0.632262969952736,high-score popular short/medium-length series
47917,Bocchi the Rock!,TV,8.73,803159,12,23.0,276.0,2022.0,Comedy|Music|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6305713263174938,high-score popular short/medium-length series
2001,Tengen Toppa Gurren Lagann,TV,8.64,1775700,27,24.0,648.0,2007.0,Action|Comedy|Drama|Mecha|Romance|Sci-Fi,Seinen,PG-13 - Teens 13 or older,0.6299499897577985,high-score popular short/medium-length series
28977,Gintama°,TV,9.05,694481,51,24.0,1224.0,2015.0,Action|Comedy|Drama|Sci-Fi,Shounen,PG-13 - Teens 13 or older,0.6205621718515278,high-score popular short/medium-length series
52034,[Oshi no Ko],TV,8.53,1060690,11,30.0,330.0,2023.0,Drama|Mystery|Psychological|Supernatural,Seinen,PG-13 - Teens 13 or older,0.6203828284928679,high-score popular short/medium-length series
31043,Boku dake ga Inai Machi,TV,8.3,2303242,12,23.0,276.0,2016.0,Drama|Mystery|Psychological|Supernatural|Thriller,Seinen,R - 17+ (violence & profanity),0.6202315058792389,high-score popular short/medium-length series
30654,Ansatsu Kyoushitsu 2nd Season,TV,8.47,1575881,25,23.0,575.0,2016.0,Action|Comedy|Drama|Supernatural,Shounen,PG-13 - Teens 13 or older,0.6195585542711325,high-score popular short/medium-length series
31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,8.25,2476450,25,26.0,650.0,2016.0,Action|Adventure|Drama|Fantasy|Psychological|Romance|Thriller,Seinen,R - 17+ (violence & profanity),0.6171042314354741,high-score popular short/medium-length series
36098,Kimi no Suizou wo Tabetai,Movie,8.55,1126761,1,108.0,108.0,2018.0,Drama|Romance|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6125706014972387,high-score popular movie; low commitment
431,Howl no Ugoku Shiro,Movie,8.67,1497404,1,119.0,119.0,2004.0,Adventure|Drama|Fantasy|Romance,Seinen,G - All Ages,0.612383675499291,high-score popular movie; low commitment
38691,Dr. Stone,TV,8.26,1968586,24,24.0,576.0,2019.0,Action|Adventure|Comedy|Sci-Fi,Shounen,PG-13 - Teens 13 or older,0.6094493412582499,high-score popular short/medium-length series
