candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity,hit_at_12_Beginner,hit_at_12_Casual,hit_at_12_Fan,hit_at_12_Veteran,balanced_profile_hit_at_12
84,3000,0.9536666666666667,0.9536666666666667,0.7347439900432834,0.6652925324675325,0.6674171686172485,1.0,0.4629,0.0428,0.0664,0.0653,0.3296,0.033,0.9602888086642599,0.9648093841642229,0.9538590604026845,0.8874458874458875,0.9416007851692637
32,3000,0.9546666666666667,0.9546666666666667,0.7399266802066243,0.6716420634920633,0.6737227439880371,1.0,0.4866,0.0685,0.1696,0.0223,0.2087,0.0442,0.9530685920577617,0.9667644183773216,0.9580536912751678,0.8874458874458875,0.9413331472890346
26,3000,0.9533333333333334,0.9533333333333334,0.7417107885650309,0.6741870851370851,0.67641282081604,1.0,0.449,0.1233,0.1671,0.042,0.1829,0.0357,0.9548736462093863,0.9648093841642229,0.9563758389261745,0.8831168831168831,0.9397939381041667
31,3000,0.9496666666666667,0.9496666666666667,0.7425397007642671,0.676279316979317,0.6786316633224487,1.0,0.4104,0.2455,0.0897,0.0975,0.1556,0.0012,0.9494584837545126,0.9608993157380255,0.950503355704698,0.8961038961038961,0.9392412628252831
112,3000,0.952,0.952,0.7071991178578861,0.6292808561808562,0.6316437721252441,2.0,0.2447,0.095,0.1547,0.0964,0.3917,0.0175,0.9530685920577617,0.9657869012707723,0.9530201342281879,0.8831168831168831,0.9387481276684012
53,3000,0.9543333333333334,0.9543333333333334,0.7415909163799819,0.6735705747955748,0.6756525039672852,1.0,0.4864,0.119,0.044,0.0073,0.285,0.0584,0.9530685920577617,0.967741935483871,0.9588926174496645,0.8744588744588745,0.9385405048625429
36,3000,0.9523333333333334,0.9523333333333334,0.7439165602003203,0.6773681818181818,0.6795856952667236,1.0,0.4576,0.1413,0.1625,0.0449,0.1255,0.0682,0.9548736462093863,0.9638318670576735,0.9555369127516778,0.8787878787878788,0.9382575762016542
82,3000,0.9506666666666667,0.9506666666666667,0.7372342629361743,0.6692041366041366,0.6715256571769714,1.0,0.4629,0.0654,0.0734,0.1045,0.2458,0.048,0.9566787003610109,0.9618768328445748,0.9513422818791947,0.8831168831168831,0.9382536745504159
48,3000,0.9523333333333334,0.9523333333333334,0.7425352603348129,0.6755288119288119,0.6778340935707092,1.0,0.3749,0.1588,0.2234,0.058,0.1369,0.0481,0.9530685920577617,0.9628543499511242,0.9572147651006712,0.8787878787878788,0.937981396474359
99,3000,0.9483333333333334,0.9483333333333334,0.7386503041862171,0.6715900432900433,0.674159586429596,1.0,0.2843,0.207,0.202,0.1513,0.1235,0.0319,0.9548736462093863,0.9589442815249267,0.947986577181208,0.8874458874458875,0.9373125980903522
29,3000,0.9503333333333334,0.9503333333333334,0.7445599057428511,0.6787158249158249,0.6809172034263611,1.0,0.4671,0.2387,0.0662,0.0043,0.2222,0.0016,0.944043321299639,0.9618768328445748,0.9555369127516778,0.8874458874458875,0.9372257385854448
4,3000,0.9493333333333334,0.9493333333333334,0.7403018197851009,0.6734908369408369,0.6758652925491333,1.0,0.4,0.15,0.1,0.15,0.15,0.05,0.9548736462093863,0.9618768328445748,0.9488255033557047,0.8831168831168831,0.9371732163816372
56,3000,0.95,0.95,0.742231475741492,0.6756947210197211,0.6780270338058472,1.0,0.3933,0.1692,0.0542,0.1356,0.191,0.0567,0.9512635379061372,0.9618768328445748,0.9521812080536913,0.8831168831168831,0.9371096154803216
121,3000,0.9513333333333334,0.9513333333333334,0.7405669868212077,0.6733925925925927,0.6756609678268433,1.0,0.4681,0.1671,0.2552,0.0076,0.0683,0.0338,0.9494584837545126,0.9618768328445748,0.9572147651006712,0.8787878787878788,0.9368344901219093
9,3000,0.947,0.947,0.731589985022191,0.6626558441558441,0.6653419733047485,1.0,0.188,0.2563,0.1971,0.1822,0.1531,0.0232,0.9548736462093863,0.9579667644183774,0.9454697986577181,0.8874458874458875,0.9364390241828423
