user_level,candidate_id,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,weight_latent_svd,weight_item_knn_collaborative,weight_popularity,weight_metadata_content,weight_graph_related,weight_people_staff_affinity
Beginner,84,554,0.9602888086642599,0.9602888086642599,0.7661844918499567,0.7040292038486984,0.7052969932556152,1.0,0.4629,0.0428,0.0664,0.0653,0.3296,0.033
Beginner,82,554,0.9566787003610109,0.9566787003610109,0.7720250741254853,0.7125093117872902,0.7139888405799866,1.0,0.4629,0.0654,0.0734,0.1045,0.2458,0.048
Beginner,9,554,0.9548736462093863,0.9548736462093863,0.7829782149587161,0.7273924130422326,0.7292814254760742,1.0,0.188,0.2563,0.1971,0.1822,0.1531,0.0232
Beginner,66,554,0.9548736462093863,0.9548736462093863,0.7803895668074053,0.7240115179645865,0.7262932658195496,1.0,0.1504,0.2358,0.4016,0.0685,0.0893,0.0544
Beginner,99,554,0.9548736462093863,0.9548736462093863,0.7774965523546326,0.7201601497179114,0.7220171093940735,1.0,0.2843,0.207,0.202,0.1513,0.1235,0.0319
Beginner,4,554,0.9548736462093863,0.9548736462093863,0.7749059733341788,0.7166819692541715,0.7182418704032898,1.0,0.4,0.15,0.1,0.15,0.15,0.05
Beginner,36,554,0.9548736462093863,0.9548736462093863,0.7735006325583553,0.7148713150066941,0.7164562344551086,1.0,0.4576,0.1413,0.1625,0.0449,0.1255,0.0682
Beginner,5,554,0.9548736462093863,0.9548736462093863,0.7726623837319286,0.7138431764785554,0.7155513763427734,1.0,0.35,0.1,0.1,0.15,0.25,0.05
Beginner,26,554,0.9548736462093863,0.9548736462093863,0.7714331580561621,0.7122121160027297,0.7139053344726562,1.0,0.449,0.1233,0.1671,0.042,0.1829,0.0357
Beginner,118,554,0.9548736462093863,0.9548736462093863,0.7702176463835415,0.7111692609436292,0.7127324342727661,1.0,0.3685,0.041,0.0626,0.2452,0.2234,0.0593
Beginner,124,554,0.9530685920577617,0.9530685920577617,0.7747271030670637,0.717039984684389,0.7186849117279053,1.0,0.4149,0.1724,0.1066,0.1409,0.1198,0.0455
Beginner,120,554,0.9530685920577617,0.9530685920577617,0.7740199109288212,0.7161446856392705,0.7183249592781067,1.0,0.1472,0.219,0.2305,0.2509,0.1317,0.0207
Beginner,48,554,0.9530685920577617,0.9530685920577617,0.7728098876078849,0.7143402175441886,0.7162443399429321,1.0,0.3749,0.1588,0.2234,0.058,0.1369,0.0481
Beginner,85,554,0.9530685920577617,0.9530685920577617,0.771507289022719,0.7128712342611261,0.7147560715675354,1.0,0.4001,0.1148,0.1735,0.1726,0.1049,0.0341
Beginner,2,554,0.9530685920577617,0.9530685920577617,0.7710537038537691,0.7121492126004761,0.7138315439224243,1.0,0.45,0.15,0.12,0.12,0.11,0.05
Beginner,53,554,0.9530685920577617,0.9530685920577617,0.7694788896208249,0.7099379561473423,0.7114746570587158,1.0,0.4864,0.119,0.044,0.0073,0.285,0.0584
Beginner,32,554,0.9530685920577617,0.9530685920577617,0.769411028952103,0.7100797818306844,0.7119395136833191,1.0,0.4866,0.0685,0.1696,0.0223,0.2087,0.0442
Beginner,64,554,0.9530685920577617,0.9530685920577617,0.7688775110811067,0.7098565594052959,0.7115888595581055,1.0,0.54,0.0962,0.1375,0.1506,0.0674,0.0083
Beginner,13,554,0.9530685920577617,0.9530685920577617,0.7679457505918369,0.7085298576273306,0.7102316617965698,1.0,0.549,0.0975,0.1428,0.1044,0.0948,0.0116
Beginner,21,554,0.9530685920577617,0.9530685920577617,0.7666170606208534,0.7066846911612255,0.708362877368927,1.0,0.608,0.0303,0.0851,0.0919,0.1746,0.0101
Beginner,91,554,0.9530685920577617,0.9530685920577617,0.7623344817946129,0.700516446048937,0.7025852799415588,1.0,0.2136,0.1433,0.158,0.1153,0.3203,0.0495
Beginner,112,554,0.9530685920577617,0.9530685920577617,0.7542823041152188,0.6901610874083799,0.692229151725769,1.0,0.2447,0.095,0.1547,0.0964,0.3917,0.0175
Beginner,56,554,0.9512635379061372,0.9512635379061372,0.7782133237251522,0.722031102671897,0.7237873673439026,1.0,0.3933,0.1692,0.0542,0.1356,0.191,0.0567
Beginner,93,554,0.9512635379061372,0.9512635379061372,0.7743722074745535,0.7175436677241732,0.7192916870117188,1.0,0.3676,0.102,0.0251,0.2658,0.1742,0.0653
Beginner,105,554,0.9512635379061372,0.9512635379061372,0.7739300000896231,0.7170115283833695,0.719481348991394,1.0,0.2201,0.1939,0.3279,0.191,0.0576,0.0094
Beginner,86,554,0.9512635379061372,0.9512635379061372,0.7729362375882511,0.7154562645537375,0.7174346446990967,1.0,0.3633,0.0656,0.1346,0.2092,0.1485,0.0787
Beginner,104,554,0.9512635379061372,0.9512635379061372,0.7718122008034372,0.714081115434906,0.7161490321159363,1.0,0.3919,0.1178,0.2171,0.1727,0.0652,0.0352
Beginner,11,554,0.9512635379061372,0.9512635379061372,0.770562683771009,0.7122881080011044,0.7138575911521912,1.0,0.5758,0.0921,0.032,0.1563,0.0878,0.0561
Beginner,79,554,0.9512635379061372,0.9512635379061372,0.7704335433233841,0.7124524643026448,0.7144945859909058,1.0,0.4408,0.1065,0.2497,0.1233,0.0534,0.0263
Beginner,63,554,0.9512635379061372,0.9512635379061372,0.768049392367434,0.7093537880090226,0.711208164691925,1.0,0.5745,0.0388,0.1612,0.0831,0.1159,0.0265
Beginner,31,554,0.9494584837545126,0.9494584837545126,0.775810601426768,0.719747696146613,0.7216073870658875,1.0,0.4104,0.2455,0.0897,0.0975,0.1556,0.0012
