mal_id,title_xml,score_xml,status_xml,title_api,score_api,status_api,_merge
412,Kore ga Watashi no Goshujinsama,0,plan_to_watch,,,,left_only
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,8,completed,,,,left_only
1546,Negima!?,0,plan_to_watch,,,,left_only
2341,Choujin Densetsu Urotsukidouji,0,plan_to_watch,,,,left_only
2359,Choujin Densetsu Urotsukidouji Movie,0,plan_to_watch,,,,left_only
2403,Kodomo no Jikan (TV),0,plan_to_watch,,,,left_only
3220,Kanashimi no Belladonna,0,plan_to_watch,,,,left_only
3342,Mnemosyne: Mnemosyne no Musume-tachi,8,completed,,,,left_only
4063,Sekirei,0,plan_to_watch,,,,left_only
5042,Kiss x Sis,8,completed,,,,left_only
5163,Code Geass: Hangyaku no Lelouch R2 Picture Drama,5,completed,,,,left_only
5958,Sora no Otoshimono,0,plan_to_watch,,,,left_only
6500,Seikon no Qwaser,0,plan_to_watch,,,,left_only
7593,Kiss x Sis (TV),7,completed,,,,left_only
8407,Sora no Otoshimono Forte,0,plan_to_watch,,,,left_only
8861,Yosuga no Sora,8,completed,,,,left_only
8876,Koe de Oshigoto! The Animation,0,plan_to_watch,,,,left_only
9367,Freezing,0,plan_to_watch,,,,left_only
9515,Highschool of the Dead: Drifters of the Dead,5,completed,,,,left_only
10110,Mayo Chiki!,0,plan_to_watch,,,,left_only
10209,Kore wa Zombie desu ka? OVA,7,completed,,,,left_only
11499,Sankarea,7,completed,,,,left_only
13367,"Kono Naka ni Hitori, Imouto ga Iru!",6,completed,,,,left_only
13851,To LOVE-Ru Darkness OVA,9,completed,,,,left_only
15881,Oniichan dakedo Ai sae Areba Kankeinai yo ne! Specials,5,completed,,,,left_only
23619,Haiyore! Nyaruko-san W: W ni Sayonara/Kono Onsen ni Koi no Konton wo,7,completed,,,,left_only
28285,Trinity Seven: Nanatsu no Taizai to Nana Madoushi,5,completed,,,,left_only
28617,Punch Line,0,plan_to_watch,,,,left_only
30240,Prison School,8,completed,,,,left_only
30300,"High School DxD New: Oppai, Tsutsumimasu!",6,completed,,,,left_only
30365,Shinmai Maou no Testament Burst: Toujou Basara no Shigoku Heiwa na Nichijou,7,completed,,,,left_only
31056,Fate/kaleid liner Prisma☆Illya 2wei Herz! Specials,6,completed,,,,left_only
31442,Musaigen no Phantom World,6,completed,,,,left_only
31845,Masou Gakuen HxH,7,completed,,,,left_only
32409,Shinmai Maou no Testament Burst Specials,5,completed,,,,left_only
32698,Monster Musume no Iru Nichijou OVA,7,completed,,,,left_only
33456,Fate/kaleid liner Prisma☆Illya 3rei!! Specials,6,completed,,,,left_only
33581,Trinity Seven Movie 1: Eternity Library to Alchemic Girl,5,completed,,,,left_only
34281,High School DxD Hero,6,completed,,,,left_only
34447,Masou Gakuen HxH Specials,7,completed,,,,left_only
37719,High School DxD Hero: Taiikukan-ura no Holy,6,completed,,,,left_only
37722,Uchi no Maid ga Uzasugiru!,0,plan_to_watch,,,,left_only
37773,"Yuru Yuri,",8,completed,,,,left_only
37986,Trinity Seven Movie 2: Heavens Library to Crimson Lord,5,completed,,,,left_only
37993,Watashi ni Tenshi ga Maiorita!,0,plan_to_watch,,,,left_only
40010,Ishuzoku Reviewers,0,plan_to_watch,,,,left_only
40453,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,6,completed,,,,left_only
40486,Strike the Blood: Kieta Seisou-hen,6,completed,,,,left_only
