method,evaluated_users,hit_rate_at_12,recall_at_12,ndcg_at_12,map_at_12,mean_reciprocal_rank,median_rank,mean_rank,candidate_pool_per_user,like_threshold,min_user_positives,min_item_positives,candidate_pool_definition
level_tuned_product_hybrid,3000,0.954,0.954,0.7448746271954408,0.678337481962482,0.6804000496678048,1.0,3.654,101,7,5,10,1 positive + 100 sampled negatives
tuned_product_hybrid,3000,0.9523333333333334,0.9523333333333334,0.7341285864103925,0.6648747955747956,0.6670597158128158,1.0,3.694,101,7,5,10,1 positive + 100 sampled negatives
full_product_hybrid,3000,0.9383333333333334,0.9383333333333334,0.7334825600994305,0.6686702380952381,0.6715905647091728,1.0,3.8836666666666666,101,7,5,10,1 positive + 100 sampled negatives
latent_svd,3000,0.9323333333333333,0.9323333333333333,0.7335321371413167,0.6704272366522366,0.6732664285779113,1.0,4.951666666666667,101,7,5,10,1 positive + 100 sampled negatives
graph_related,3000,0.901,0.901,0.6229195761881994,0.536010076960077,0.5399658219433955,2.0,7.660333333333333,101,7,5,10,1 positive + 100 sampled negatives
popularity_baseline,3000,0.8243333333333334,0.8243333333333334,0.5435918029674908,0.4571438552188552,0.46537929671758693,3.0,7.327,101,7,5,10,1 positive + 100 sampled negatives
metadata_content,3000,0.7006666666666667,0.7006666666666667,0.3921958256505631,0.2987498556998557,0.31181335289461654,6.0,11.713333333333333,101,7,5,10,1 positive + 100 sampled negatives
item_knn_collaborative,3000,0.6583333333333333,0.6583333333333333,0.4266980278408809,0.3560159571909572,0.3672533334237819,5.0,17.869666666666667,101,7,5,10,1 positive + 100 sampled negatives
people_staff_affinity,3000,0.5533333333333333,0.5533333333333333,0.31090114601109986,0.23848672438672436,0.2559181203004553,10.0,17.453333333333333,101,7,5,10,1 positive + 100 sampled negatives
level_tuned_product_hybrid,3000,0.7656666666666667,0.7656666666666667,0.5167134988795823,0.44000140692640693,0.4492434210370642,3.0,13.767,501,7,5,10,1 positive + 500 sampled negatives
tuned_product_hybrid,3000,0.7543333333333333,0.7543333333333333,0.5030409970677612,0.42549036796536793,0.43504979938105826,3.0,13.959333333333333,501,7,5,10,1 positive + 500 sampled negatives
full_product_hybrid,3000,0.748,0.748,0.5152709958246364,0.44357055074555074,0.45250113810340703,3.0,15.944333333333333,501,7,5,10,1 positive + 500 sampled negatives
latent_svd,3000,0.7443333333333333,0.7443333333333333,0.5168332309604231,0.4466101851851852,0.4559401242623241,3.0,20.892,501,7,5,10,1 positive + 500 sampled negatives
graph_related,3000,0.6186666666666667,0.6186666666666667,0.3585272326644375,0.27987824675324674,0.2931073459302639,7.0,34.393,501,7,5,10,1 positive + 500 sampled negatives
popularity_baseline,3000,0.515,0.515,0.295982324996608,0.22998435545935547,0.24475885832326966,12.0,32.504333333333335,501,7,5,10,1 positive + 500 sampled negatives
item_knn_collaborative,3000,0.3983333333333333,0.3983333333333333,0.23458678189398074,0.1853482683982684,0.198415364549896,22.0,85.24966666666667,501,7,5,10,1 positive + 500 sampled negatives
metadata_content,3000,0.3396666666666667,0.3396666666666667,0.15458217681076927,0.10015992063492064,0.11731181347322839,26.0,54.373666666666665,501,7,5,10,1 positive + 500 sampled negatives
people_staff_affinity,3000,0.252,0.252,0.14037047222846294,0.10732320827320826,0.12237739583464143,47.0,82.66,501,7,5,10,1 positive + 500 sampled negatives
level_tuned_product_hybrid,3000,0.6543333333333333,0.6543333333333333,0.418524670970516,0.34654267676767675,0.3580905902479984,6.0,26.555333333333333,1001,7,5,10,1 positive + 1000 sampled negatives
latent_svd,3000,0.6473333333333333,0.6473333333333333,0.42582414129682455,0.35807537277537277,0.3687454608861185,5.0,40.748,1001,7,5,10,1 positive + 1000 sampled negatives
tuned_product_hybrid,3000,0.6463333333333333,0.6463333333333333,0.4072171974005518,0.334374025974026,0.3458580407289644,6.0,27.144333333333332,1001,7,5,10,1 positive + 1000 sampled negatives
full_product_hybrid,3000,0.6453333333333333,0.6453333333333333,0.41801168563230295,0.34874181096681095,0.3592669855942517,6.0,31.507,1001,7,5,10,1 positive + 1000 sampled negatives
graph_related,3000,0.47633333333333333,0.47633333333333333,0.2655055714286753,0.2023575877825878,0.21746482446819115,14.0,67.72866666666667,1001,7,5,10,1 positive + 1000 sampled negatives
