userID,holdout_animeID,train_anime_ids,profile_size,user_level,popularity_rank,metadata_rank,graph_rank,people_staff_rank,item_knn_rank,latent_svd_rank,full_hybrid_rank,tuned_hybrid_rank,level_tuned_hybrid_rank,example_method,product_hybrid_top12_anime_ids,candidate_pool_size,holdout_title,train_titles,product_hybrid_top12_titles,case_type
25032,29093,20|1575|1691|1735|2025|2593|2904|3782|3783|4186|4280|4282|5081|5114|5204|5205|5507|6547|6702|6954,245,Fan,6,20,4,22,1,1,2,2,1,level_tuned_product_hybrid,29093|13125|6171|12565|30205|44961|38481|49981|24543|15793|4565|59142,101,Grisaia no Meikyuu: Caprice no Mayu 0,Naruto | Code Geass: Hangyaku no Lelouch | Kaze no Stigma | Naruto: Shippuuden | Darker than Black: Kuro no Keiyakusha | Kara no Kyoukai Movie 1: Fukan Fuukei | Code Geass: Hangyaku no Lelouch R2 | Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),"Grisaia no Meikyuu: Caprice no Mayu 0 | Shinsekai yori | Saint Seiya: The Lost Canvas - Meiou Shinwa | Fate/Prototype | Aoharu x Kikanjuu | Platinum End | Toaru Kagaku no Railgun T | Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II | Persona 3 the Movie 3: Falling Down | Senki Zesshou Symphogear G | Tengen Toppa Gurren Lagann Movie 2: Lagann-hen | Unnamed Memory Act.2",both_hit
391767,12293,1|5|6|15|16|18|19|20|21|22|24|28|30|33|43|44|45|46|47|53,1770,Veteran,3,8,3,10,88,5,4,3,4,level_tuned_product_hybrid,52962|12445|11933|12293|11359|52976|21755|66|39808|5725|35044|49893,101,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Trigun | Eyeshield 21 | Hachimitsu to Clover | Initial D Fourth Stage | Monster | Naruto,"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story | Tasogare Otome x Amnesia | Oda Nobuna no Yabou | Campione! Matsurowanu Kamigami to Kamigoroshi no Maou | Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni | Berserk: Ougon Jidai-hen - Memorial Edition | Shin Tennis no Oujisama vs. Genius 10 | Azumanga Daiou The Animation | Non Non Biyori Nonstop | Kodai Ouja Kyouryuu King: Yokuryuu Densetsu | Tu Bian Yingxiong Leaf | Kobayashi-san Chi no Maid Dragon S: Nippon no Omotenashi - Attend wa Dragon desu",both_hit
464194,1526,1|6|16|19|20|21|30|32|33|43|45|47|48|73|120|121|136|145|154|164,407,Fan,15,26,27,11,4,1,2,2,1,level_tuned_product_hybrid,1526|54857|6213|3002|5231|22135|4282|31580|150|4214|22145|33047,101,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,"Cowboy Bebop | Trigun | Hachimitsu to Clover | Monster | Naruto | One Piece | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Pokemon Movie 08: Mew to Hadou no Yuusha Lucario | Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season | Toaru Kagaku no Railgun | Gyakkyou Burai Kaiji: Ultimate Survivor | Inazuma Eleven | Ping Pong the Animation | Kara no Kyoukai Movie 5: Mujun Rasen | Ajin | Blood+ | Rosario to Vampire Capu2 | Kuroshitsuji: Book of Circus | Fate/Extra: Last Encore,hybrid_win
469385,38408,1|20|30|32|199|227|317|323|339|437|512|877|934|1210|1535|1575|1887|2759|2890|2904,137,Casual,1,4,1,3,27,1,1,1,1,level_tuned_product_hybrid,38408|62896|36873|16|36796|34498|55866|36702|9288|8197|42392|8841,101,Boku no Hero Academia 4th Season,"Cowboy Bebop | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Sen to Chihiro no Kamikakushi | FLCL | Final Fantasy VII: Advent Children | Mousou Dairinin","Boku no Hero Academia 4th Season | Chou Kaguya-hime! | Back Street Girls: Gokudolls | Hachimitsu to Clover | Owarimonogatari 2nd Season Recaps | Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka? | Yubisaki to Renren | Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou | Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!? | So Ra No Wo To Specials | Grisaia: Phantom Trigger The Animation - Stargazer | Kore wa Zombie desu ka?",both_hit
549700,12883,1|19|27|64|65|121|153|199|226|235|270|392|430|457|528|578|779|789|1535|1575,131,Casual,24,16,7,21,1,2,3,3,3,level_tuned_product_hybrid,31953|14833|12883|22687|40221|14765|57524|36906|55102|54714|2889|38699,101,Tsuritama,Cowboy Bebop | Monster | Trinity Blood | Rozen Maiden | Rozen Maiden: Träumend | Fullmetal Alchemist | Juuni Kokuki | Sen to Chihiro no Kamikakushi,New Game! | Maoyuu Maou Yuusha | Tsuritama | Terra Formars | Kami no Tou | Ixion Saga DT | Make Heroine ga Oosugiru! | Jashin-chan Dropkick | Girls Band Cry | Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo | Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru | Boku no Hero Academia the Movie 1: Futari no Hero Specials,hybrid_win
625599,16498,20|21|33|121|249|1210|1735|5114|25777|35760|38524|40028,12,Beginner,1,1,1,1,1,1,1,1,1,level_tuned_product_hybrid,16498|6746|323|6421|1254|19285|34902|435|31758|34822|42205|35968,101,Shingeki no Kyojin,Naruto | One Piece | Kenpuu Denki Berserk | Fullmetal Alchemist | InuYasha | NHK ni Youkoso! | Naruto: Shippuuden | Fullmetal Alchemist: Brotherhood,Shingeki no Kyojin | Durarara!! | Mousou Dairinin | Fullmetal Alchemist: Brotherhood Specials | Saint Seiya | Shingeki no Kyojin: Ano Hi Kara | Tsurezure Children | Magic Knight Rayearth | Kizumonogatari III: Reiketsu-hen | Tsuki ga Kirei | Shaman King (2021) | Wotaku ni Koi wa Muzukashii,both_hit
701331,36563,1|6|20|30|32|33|43|44|45|46|47|57|132|136|137|138|139|150|170|205,441,Fan,3,9,1,36,10,1,1,1,1,level_tuned_product_hybrid,36563|50528|54199|10408|26|21877|55842|60969|31757|60508|37517|60665,101,Megalo Box,"Cowboy Bebop | Trigun | Naruto | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Kenpuu Denki Berserk | Koukaku Kidoutai | Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen","Megalo Box | Golden Kamuy 4th Season | Kaii to Otome to Kamikakushi | Hotarubi no Mori e | Texhnolyze | High Score Girl | Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru | Taiyou yori mo Mabushii Hoshi | Kizumonogatari II: Nekketsu-hen | Food Court de, Mata Ashita. | Happy Sugar Life | Futari Solo Camp",both_hit
707014,14513,20|21|121|199|270|552|578|874|934|1482|1535|1575|1604|1689|1887|2001|3588|4896|5081|5114,111,Casual,4,16,3,1,1,1,1,1,1,level_tuned_product_hybrid,14513|2167|4898|14345|1889|51009|31629|24075|35427|36884|37991|37621,101,Magi: The Labyrinth of Magic,Naruto | One Piece | Fullmetal Alchemist | Sen to Chihiro no Kamikakushi | Hellsing | Digimon Adventure | Hotaru no Haka | Digimon Tamers,Magi: The Labyrinth of Magic | Clannad | Kuroshitsuji | Btooom! | Higurashi no Naku Koro ni Kai | Jujutsu Kaisen 2nd Season | Granblue Fantasy The Animation | Persona 4 the Golden Animation | Animegataris | Hisone to Maso-tan | JoJo no Kimyou na Bouken Part 5: Ougon no Kaze | Karakai Jouzu no Takagi-san: Water Slide,both_hit
798076,33191,20|121|1535|1735|4224|5114|5680|6127|6547|6862|11061|11553|11757|13601|13759|14719|16498|17895|18397|19815,119,Casual,11,23,3,6,3,3,3,2,2,level_tuned_product_hybrid,32615|33191|36563|20787|38198|33988|52657|34712|16353|39808|31757|57779,101,Kishibe Rohan wa Ugokanai,Naruto | Fullmetal Alchemist | Death Note | Naruto: Shippuuden | Toradora! | Fullmetal Alchemist: Brotherhood | K-On! | Toradora!: SOS! Kuishinbou Banbanzai,Youjo Senki | Kishibe Rohan wa Ugokanai | Megalo Box | Black Bullet | Nanatsu no Taizai: Eiyuu-tachi wa Hashagu | Demi-chan wa Kataritai | Ousama Ranking: Yuuki no Takarabako | Kujira no Kora wa Sajou ni Utau | Love Lab | Non Non Biyori Nonstop | Kizumonogatari II: Nekketsu-hen | Dorohedoro Season 2,both_hit
829823,36475,1887|5680|6802|7791|8557|10357|11751|12189|12679|14131|14355|15051|15793|15911|16732|16742|17549|18229|19111|19815,158,Fan,5,17,5,8,22,1,3,3,3,level_tuned_product_hybrid,37430|30276|36475|17082|3604|38301|30455|36038|38091|30919|40841|31848,101,Sword Art Online Alternative: Gun Gale Online,Lucky☆Star | K-On! | So Ra No Wo To | K-On!! | Shinryaku! Ika Musume | Jinrui wa Suitai Shimashita | Senki Zesshou Symphogear | Hyouka,Tensei shitara Slime Datta Ken | One Punch Man | Sword Art Online Alternative: Gun Gale Online | Aiura | Hidamari Sketch x 365 | Kouya no Kotobuki Hikoutai | KanColle: Itsuka Ano Umi de | Net-juu no Susume | Hachigatsu no Cinderella Nine | Sora no Method: Aru Shoujo no Kyuujitsu★ | Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA | Ojisan to Marshmallow,both_hit
