mal_id,title,type,score,members,episodes,duration,total_watch_minutes,aired_year,genres,demographics,rating,beginner_entry_score,why_entry_level
52991,Sousou no Frieren,TV,9.26,1456504,28.0,24.0,672.0,2023.0,Adventure|Award Winning|Drama|Fantasy|Action|Comedy|Romance,Shounen,PG-13 - Teens 13 or older,0.7804204509065078,high-score popular short/medium-length series
9253,Steins;Gate,TV,9.07,2822509,24.0,24.0,576.0,2011.0,Drama|Sci-Fi|Suspense|Comedy|Romance,Seinen,PG-13 - Teens 13 or older,0.7640503464464032,high-score popular short/medium-length series
28851,Koe no Katachi,Movie,8.93,2627641,1.0,130.0,130.0,2016.0,Award Winning|Drama|Romance,Shounen,PG-13 - Teens 13 or older,0.7486182186845748,high-score popular movie; low commitment
32281,Kimi no Na wa.,Movie,8.82,3037822,1.0,106.0,106.0,2016.0,Award Winning|Drama|Sci-Fi|Comedy|Romance|Slice of Life,,PG-13 - Teens 13 or older,0.7405058029021149,high-score popular movie; low commitment
5114,Fullmetal Alchemist: Brotherhood,TV,9.11,3696136,64.0,24.0,1536.0,2009.0,Action|Adventure|Drama|Fantasy|Sci-Fi|Comedy,Shounen,R - 17+ (violence & profanity),0.736388032146749,high-score popular short/medium-length series
16498,Shingeki no Kyojin,TV,8.57,4377647,25.0,24.0,600.0,2013.0,Action|Award Winning|Drama|Suspense|Sci-Fi|Fantasy|Adventure|Horror,Shounen,R - 17+ (violence & profanity),0.7151032448377582,high-score popular short/medium-length series
37521,Vinland Saga,TV,8.78,1833638,24.0,24.0,576.0,2019.0,Action|Adventure|Drama,Seinen,R - 17+ (violence & profanity),0.7001593297080243,high-score popular short/medium-length series
33352,Violet Evergarden,TV,8.69,2005781,13.0,24.0,312.0,2018.0,Drama|Action|Sci-Fi|Romance|Slice of Life,Seinen,PG-13 - Teens 13 or older,0.6877277871507987,high-score popular short/medium-length series
1535,Death Note,TV,8.62,4314806,37.0,23.0,851.0,2006.0,Supernatural|Suspense|Fantasy|Romance|Mystery,Shounen,R - 17+ (violence & profanity),0.6849680224728808,high-score popular short/medium-length series
30276,One Punch Man,TV,8.47,3530194,12.0,24.0,288.0,2015.0,Action|Comedy|Gourmet|Sci-Fi|Sports,Seinen,R - 17+ (violence & profanity),0.6848967039378404,high-score popular short/medium-length series
38000,Kimetsu no Yaiba,TV,8.4,3463012,26.0,23.0,598.0,2019.0,Action|Award Winning|Supernatural|Fantasy|Adventure|Horror|Comedy,Shounen,R - 17+ (violence & profanity),0.6835879305483779,high-score popular short/medium-length series
1575,Code Geass: Hangyaku no Lelouch,TV,8.71,2481540,25.0,24.0,600.0,2006.0,Award Winning|Drama|Sci-Fi|Girls Love|Action|Suspense|Comedy|Romance|Sports,Shoujo,R+ - Mild Nudity,0.6695371467390916,high-score popular short/medium-length series
