user_level,method,evaluated_users,median_profile_size,hit_rate_at_10,ndcg_at_10,mean_reciprocal_rank,median_rank,mean_rank
Absolute Beginner,hybrid_svd_popularity,4499,25.0,0.9126472549455434,0.7445090646511427,0.6937956998780899,1.0,5.6939319848855305
Absolute Beginner,latent_svd,4499,25.0,0.9055345632362747,0.7418575244709242,0.6920989659100594,1.0,7.260502333851967
Absolute Beginner,popularity_baseline,4499,25.0,0.8121804845521227,0.5512446514152058,0.4799732069013881,3.0,6.672593909757724
Amateur,hybrid_svd_popularity,5575,90.0,0.9203587443946188,0.7282711109196546,0.6706473671484187,1.0,4.445560538116592
Amateur,latent_svd,5575,90.0,0.9237668161434978,0.7300067458709247,0.6713229200681109,1.0,5.119282511210763
Amateur,popularity_baseline,5575,90.0,0.7757847533632287,0.5080280197219045,0.43703873971602514,3.0,7.643587443946188
Good,hybrid_svd_popularity,4864,245.0,0.895764802631579,0.6765261063047987,0.6127732092948732,2.0,4.621710526315789
Good,latent_svd,4864,245.0,0.9000822368421053,0.6788667610039402,0.6142564903770371,2.0,4.880139802631579
Good,popularity_baseline,4864,245.0,0.7249177631578947,0.4488596503265176,0.3785533983747815,5.0,9.072162828947368
Pro,hybrid_svd_popularity,62,1153.5,0.8064516129032258,0.5583214261392313,0.49116395137699903,3.0,7.838709677419355
Pro,latent_svd,62,1153.5,0.8225806451612904,0.5646783237318984,0.49387276327152113,2.5,7.338709677419355
Pro,popularity_baseline,62,1153.5,0.6935483870967742,0.3890458655806095,0.3077527212507499,6.0,13.290322580645162
