raw_rank,mal_id,title,type,score,mylist_hybrid_score,guardrail_action,guardrail_reason,known_status,known_score
1,11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,8.38,0.6533104777336121,blocked,summary/recap of known title 9756 | missing prerequisite 11977,,
2,11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,8.22,0.6504477262496948,blocked,summary/recap of known title 9756,,
3,31765,Sword Art Online Movie: Ordinal Scale,Movie,7.56,0.5683745741844177,blocked,low-rated prerequisite 21881:4,,
4,27787,Nisekoi:,TV,7.34,0.5528392791748047,blocked,prerequisite is only plan-to-watch 18897,,
5,8937,Toaru Majutsu no Index II,TV,7.51,0.542914628982544,kept,,,
6,10379,Natsume Yuujinchou San,TV,8.56,0.5373744368553162,kept,,,
7,36296,Hinamatsuri,TV,8.11,0.5295746326446533,kept,,,
8,11665,Natsume Yuujinchou Shi,TV,8.63,0.5254604816436768,blocked,missing prerequisite 10379,,
9,15315,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,7.4,0.5187481641769409,kept,,,
10,4898,Kuroshitsuji,TV,7.65,0.5142366886138916,kept,,,
11,38408,Boku no Hero Academia 4th Season,TV,7.86,0.5050191879272461,kept,,,
12,585,Mimi wo Sumaseba,Movie,8.23,0.4983469545841217,kept,,,
13,35838,Shoujo Shuumatsu Ryokou,TV,8.24,0.4958522617816925,kept,,,
14,37171,Asobi Asobase,TV,8.19,0.4942476749420166,kept,,,
15,24227,Nisekoi OVA,OVA,7.36,0.4934895634651184,blocked,prerequisite is only plan-to-watch 18897 | side/special content without liked parent,,
16,5365,Tsumiki no Ie,Movie,7.99,0.48894011974334717,kept,,,
17,416,Kurenai no Buta,Movie,7.97,0.48498937487602234,kept,,,
18,34577,Nanatsu no Taizai: Imashime no Fukkatsu,TV,7.53,0.4838526248931885,blocked,missing prerequisite 31722,,
19,270,Hellsing,TV,7.5,0.4832027554512024,kept,,,
20,39597,Sword Art Online: Alicization - War of Underworld,TV,7.58,0.4774557054042816,blocked,prerequisite is only plan-to-watch 36474,,
21,23755,Nanatsu no Taizai,TV,7.6,0.47688913345336914,kept,,,
22,32867,Bungou Stray Dogs 2nd Season,TV,8.16,0.4764178693294525,blocked,missing prerequisite 31478,,
23,20,Naruto,TV,8.02,0.47541123628616333,kept,,,
24,32902,Mahoutsukai no Yome: Hoshi Matsu Hito,OVA,8.09,0.47473984956741333,blocked,prerequisite is only plan-to-watch 35062 | side/special content without liked parent,,
25,36098,Kimi no Suizou wo Tabetai,Movie,8.55,0.47398805618286133,kept,,,
