mal_id,title,type,score,members,episodes,duration,total_watch_minutes,aired_year,genres,demographics,rating,relations,mylist_hybrid_score,mylist_latent_score,popularity_score
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie,8.38,221149,1.0,111.0,111.0,2012.0,Drama|Suspense|Action|Sci-Fi|Fantasy|Adventure|Horror|Comedy|Mystery,,PG-13 - Teens 13 or older,Prequel:11977|Sequel:11981,0.6533105,0.0015730686,0.7673087
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,Movie,8.22,217478,1.0,131.0,131.0,2012.0,Drama|Suspense|Action|Sci-Fi|Fantasy|Adventure|Horror|Comedy|Mystery,,PG-13 - Teens 13 or older,Sequel:11979,0.6504477,0.0015593019,0.7700023
31765,Sword Art Online Movie: Ordinal Scale,Movie,7.56,783753,1.0,119.0,119.0,2017.0,Action|Adventure|Sci-Fi,18+,R+ - Mild Nudity,Prequel:21881|Sequel:36474,0.5683746,0.0011723952,0.8349139
27787,Nisekoi:,TV,7.34,744915,12.0,24.0,288.0,2015.0,Comedy|Romance,Shounen,PG-13 - Teens 13 or older,Prequel:18897|Side Story:32553,0.5528393,0.0011046582,0.8385018
8937,Toaru Majutsu no Index II,TV,7.51,486102,24.0,23.0,552.0,2010.0,Action|Fantasy|Sci-Fi|Girls Love|Comedy|Romance,Seinen,R - 17+ (violence & profanity),Prequel:4654|Sequel:36432|Side Story:11743,0.5429146,0.0010662683,0.8330681
10379,Natsume Yuujinchou San,TV,8.56,272933,13.0,24.0,312.0,2011.0,Slice of Life|Supernatural|Fantasy|Comedy,Shoujo,PG-13 - Teens 13 or older,Prequel:5300|Sequel:11665,0.53737444,0.0010693427,0.7912698
36296,Hinamatsuri,TV,8.11,556713,12.0,23.0,276.0,2018.0,Comedy|Action|Slice of Life,Seinen,PG-13 - Teens 13 or older,,0.52957463,0.0010245248,0.8101709
11665,Natsume Yuujinchou Shi,TV,8.63,266720,13.0,24.0,312.0,2012.0,Slice of Life|Supernatural|Action|Fantasy|Horror|Comedy,Shoujo,PG-13 - Teens 13 or older,Prequel:10379|Sequel:32983|Side Story:18849|Side Story:20651,0.5254605,0.0010263078,0.7799223
15315,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,7.4,618785,10.0,23.0,230.0,2013.0,Action|Comedy|Fantasy,,PG-13 - Teens 13 or older,Sequel:16444,0.51874816,0.00095789833,0.8433941
4898,Kuroshitsuji,TV,7.65,1277059,24.0,24.0,576.0,2008.0,Action|Mystery|Supernatural|Gourmet|Boys Love|Sci-Fi|Fantasy|Horror|Suspense|Comedy|Romance|Slice of Life|Sports,Shounen,R - 17+ (violence & profanity),Sequel:6707|Sequel:22145,0.5142367,0.0009133952,0.8837187
