userID,holdout_animeID,train_anime_ids,profile_size,user_level,popularity_rank,latent_svd_rank,hybrid_rank,hybrid_top10_anime_ids,candidate_pool_size,holdout_title,train_titles,hybrid_top10_titles,case_type
0,459,121|164|169|199|356|415|419|430|431|466|570|578|1250|1571|1829|1894|2034|2236|2543|2547,23,Casual Viewer,12,4,4,59|528|48|459|11665|16762|30300|30187|9999|747,101,One Piece Movie 01,Fullmetal Alchemist | Mononoke Hime | Shingetsutan Tsukihime | Sen to Chihiro no Kamikakushi | Fate/stay night | Tonari no Yamada-kun | Samurai Deeper Kyou | Fullmetal Alchemist: The Conqueror of Shamballa,"Chobits | Pokemon Movie 01: Mewtwo no Gyakushuu | .hack//Sign | One Piece Movie 01 | Natsume Yuujinchou Shi | Mirai Nikki: Redial | High School DxD New: Oppai, Tsutsumimasu! | Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru | One Piece 3D: Mugiwara Chase | Haru wo Daiteita",hybrid_win
107,4224,30|32|121|270|1535|1575|2167|2759|2904|3784|4898|6547|9253|9756|9989|10087|10620|11111|11741|16498,49,Casual Viewer,1,2,2,27899|4224|35507|13125|16742|2994|5530|24705|13599|6372,101,Toradora!,"Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Fullmetal Alchemist | Hellsing | Death Note | Code Geass: Hangyaku no Lelouch | Clannad | Evangelion Movie 1: Jo","Tokyo Ghoul √A | Toradora! | Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e | Shinsekai yori | Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui! | Death Note: Rewrite | Pandora Hearts | Ore, Twintail ni Narimasu. | Robotics;Notes | Higashi no Eden Movie I: The King of Eden",both_hit
143,36475,1535|3470|3588|4898|6045|6547|6707|7054|8074|9656|9919|10620|11013|11111|11355|11757|14227|14713|15051|15379,97,Explorer,6,2,2,25777|36475|34822|23199|37786|6213|31733|5030|9107|35075,101,Sword Art Online Alternative: Gun Gale Online,Death Note | Special A | Soul Eater | Kuroshitsuji | Kimi ni Todoke | Angel Beats! | Kuroshitsuji II | Kaichou wa Maid-sama!,Shingeki no Kyojin Season 2 | Sword Art Online Alternative: Gun Gale Online | Tsuki ga Kirei | Durarara!!x2 Shou | Yagate Kimi ni Naru | Toaru Kagaku no Railgun | Bishoujo Senshi Sailor Moon Crystal Season III | Maria†Holic | Pokemon Best Wishes! | Hoozuki no Reitetsu 2nd Season,both_hit
145,22729,6|15|44|45|60|62|68|71|72|73|97|101|121|159|164|198|199|210|237|245,324,Dedicated Fan,3,3,3,11843|18277|22729|5300|24455|433|18677|969|37105|5079,101,Aldnoah.Zero,Trigun | Eyeshield 21 | Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen | Rurouni Kenshin: Meiji Kenkaku Romantan | Chrno Crusade | D.C.: Da Capo | Black Cat | Full Metal Panic!,"Danshi Koukousei no Nichijou | Strike the Blood | Aldnoah.Zero | Zoku Natsume Yuujinchou | Madan no Ou to Vanadis | Kumo no Mukou, Yakusoku no Basho | Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita. | Tsubasa Chronicle 2nd Season | Grand Blue | Kurokami The Animation",both_hit
188,18679,30|32|63|241|563|849|1535|1887|2006|3667|4224|5909|6347|6547|7088|8074|8516|8841|8861|9181,135,Regular Fan,1,1,1,18679|31704|9926|27829|39701|20449|785|35000|6467|9107,101,Kill la Kill,"Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | DearS | Girls Bravo: First Season | DNA² | Suzumiya Haruhi no Yuuutsu | Death Note | Lucky☆Star","Kill la Kill | One Punch Man: Road to Hero | Sekaiichi Hatsukoi | Heavy Object | Nanatsu no Taizai: Kamigami no Gekirin | Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru | Otaku no Video | To LOVE-Ru: Multiplication - Mae kara Ushiro kara | Meitantei Conan Movie 14: Tenkuu no Lost Ship | Pokemon Best Wishes!",both_hit
208,2235,431|437|459|460|578|597|601|770|1689|5578|7647|9074|10259|10800|12355|12917|14355|14719|16498|16782,63,Explorer,33,7,8,36862|36936|3091|30279|1303|7588|527|2235|8100|4565,101,Mizu no Kotoba,Howl no Ugoku Shiro | Perfect Blue | One Piece Movie 01 | One Piece Movie 02: Nejimaki-jima no Daibouken | Hotaru no Haka | Neko no Ongaeshi | Nekojiru-sou | Pale Cocoon,Made in Abyss Movie 3: Fukaki Tamashii no Reimei | Mirai no Mirai | xxxHOLiC◆Kei | Yuru Yuri San☆Hai! | The Animatrix | Saraiya Goyou | Pokemon | Mizu no Kotoba | Mardock Scramble: The First Compression | Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,hybrid_win
229,6573,1|16|49|50|53|57|59|62|63|71|72|73|79|93|101|102|105|119|121|147,129,Regular Fan,4,2,2,24|6573|33486|5941|801|9330|4550|527|5713|40052,101,Darker than Black: Ryuusei no Gemini,Cowboy Bebop | Hachimitsu to Clover | Aa! Megami-sama! | Aa! Megami-sama! (TV) | Ai Yori Aoshi | Beck | Chobits | D.C.: Da Capo,School Rumble | Darker than Black: Ryuusei no Gemini | Boku no Hero Academia 2nd Season | Cross Game | Koukaku Kidoutai: Stand Alone Complex 2nd GIG | Dragon Crisis! | Hyakko | Pokemon | Minami-ke Betsubara | Great Pretender,both_hit
293,1571,15|17|20|24|30|32|60|68|75|79|90|93|94|102|134|145|147|150|169|223,457,Dedicated Fan,7,7,7,4752|35849|889|10110|9617|35851|1571|14407|40392|28979,101,Ghost Hunt,"Eyeshield 21 | Hungry Heart: Wild Striker | Naruto | School Rumble | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni | Chrno Crusade | Black Cat",Vampire Knight Guilty | Darling in the FranXX | Black Lagoon | Mayo Chiki! | K-On! Movie | Sayonara no Asa ni Yakusoku no Hana wo Kazarou | Ghost Hunt | Persona 3 the Movie 1: Spring of Birth | Runway de Waratte | To LOVE-Ru Darkness 2nd,both_hit
327,14719,169|174|199|269|356|460|461|479|849|1535|1575|2251|2904|3588|4155|4224|4382|4654|4898|5114,342,Dedicated Fan,2,1,1,14719|40221|21843|28249|40540|30|41433|37007|38793|21273,101,JoJo no Kimyou na Bouken (TV),Shingetsutan Tsukihime | Tenjou Tenge | Sen to Chihiro no Kamikakushi | Bleach | Fate/stay night | One Piece Movie 02: Nejimaki-jima no Daibouken | One Piece Movie 03: Chinjuu-jima no Chopper Oukoku | Ueki no Housoku,JoJo no Kimyou na Bouken (TV) | Kami no Tou | Shingeki no Bahamut: Genesis | Arslan Senki (TV) | Sword Art Online: Alicization - War of Underworld 2nd Season | Shinseiki Evangelion | Akudama Drive | Hinomaruzumou | Tensei shitara Slime Datta Ken OVA | Gochuumon wa Usagi desu ka?,both_hit
330,5277,1|20|30|121|177|199|223|225|232|249|355|356|392|457|527|528|813|849|889|934,197,Regular Fan,5,3,3,5680|2476|5277|5118|897|1719|14653|1253|442|26057,101,Sekirei: Pure Engagement,Cowboy Bebop | Naruto | Shinseiki Evangelion | Fullmetal Alchemist | Tsubasa Chronicle | Sen to Chihiro no Kamikakushi | Dragon Ball | Dragon Ball GT,K-On! | School Days | Sekirei: Pure Engagement | Suzumiya Haruhi-chan no Yuuutsu | Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu | Rozen Maiden: Ouvertüre | Hayate no Gotoku! Can't Take My Eyes Off You | Saint Seiya: Meiou Hades Meikai-hen | Naruto Movie 1: Dai Katsugeki!! Yuki Hime Ninpouchou Dattebayo! | Fate/kaleid liner Prisma☆Illya 2wei!: Mahou Shoujo in Onsen Ryokou,both_hit
351,10080,6|20|24|57|174|189|190|191|192|205|240|245|268|355|392|466|523|853|1195|1210,160,Regular Fan,1,1,1,10080|26349|12477|17741|32995|8557|39326|9936|13171|35484,101,Kami nomi zo Shiru Sekai II,Trigun | Naruto | School Rumble | Beck | Tenjou Tenge | Love Hina | Love Hina Again | Love Hina Christmas Special: Silent Eve,Kami nomi zo Shiru Sekai II | Danna ga Nani wo Itteiru ka Wakaranai Ken | Sakasama no Patema | Kimi no Iru Machi | Yuri!!! on Ice | Shinryaku! Ika Musume | Kawaikereba Hentai demo Suki ni Natte Kuremasu ka? | Maken-Ki! | Wasurenagumo | Osake wa Fuufu ni Natte kara,both_hit
366,10012,1|5|6|7|19|27|30|32|43|47|71|79|101|121|154|164|169|199|205|226,235,Regular Fan,9,5,5,572|8630|5781|66|10012|38472|8142|16512|32086|38959,101,Carnival Phantasm,"Cowboy Bebop | Cowboy Bebop: Tengoku no Tobira | Trigun | Witch Hunter Robin | Monster | Trinity Blood | Shinseiki Evangelion | Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Kaze no Tani no Nausicaä | Hidan no Aria | Isekai no Seikishi Monogatari | Azumanga Daiou The Animation | Carnival Phantasm | Isekai Quartet | Colorful (Movie) | Devil Survivor 2 The Animation | Blame! Movie | Lord El-Melloi II-sei no Jikenbo: Rail Zeppelin Grace Note,both_hit
