field,missing_count,missing_pct,zero_count,non_empty_count,example_missing_titles
relations,5277,34.063,0,10215,32281:Kimi no Na wa. | 22535:Kiseijuu: Sei no Kakuritsu | 199:Sen to Chihiro no Kamikakushi | 35849:Darling in the FranXX | 431:Howl no Ugoku Shiro
demographics,3541,22.857,0,11951,32281:Kimi no Na wa. | 4224:Toradora! | 28121:Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka | 37347:Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II | 2236:Toki wo Kakeru Shoujo
recommendations,3480,22.463,0,12012,27821:Fate/stay night: Unlimited Blade Works Prologue | 55818:Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz | 37348:Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya | 30347:Nanatsu no Taizai OVA | 34480:Shokugeki no Souma: Ni no Sara OVA
voice_actors,3226,20.824,0,12266,5365:Tsumiki no Ie | 601:Nekojiru-sou | 731:Interstella5555: The 5tory of The 5ecret 5tar 5ystem | 39652:One Punch Man 2nd Season Commemorative Special | 39495:Totsukuni no Shoujo
anidb_id,1965,12.684,0,13527,27601:Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars | 18857:Ore no Imouto ga Konnani Kawaii Wake ga Nai. Specials | 37932:Quanzhi Gaoshou 2 | 40453:Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA | 16774:Inferno Cop
characters,1699,10.967,0,13793,35658:Kuroko no Basket: Last Game NG-shuu | 40372:Haikyuu!! (OVA) | 10448:Rain Town | 2891:Iblard Jikan | 39478:Shingeki no Kyojin in the Dome: Heishi-tachi no Hoshizora
anilist_id,894,5.771,0,14598,27821:Fate/stay night: Unlimited Blade Works Prologue | 38414:Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna | 53273:JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3 | 55818:Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz | 35262:Boku no Hero Academia: Hero Note
studios,565,3.647,0,14927,13677:Ao no Exorcist Movie Special | 37278:Sword Art Online Fatal Bullet: The Third Episode - Pilot-ban | 29978:001 | 49202:Semantic Error | 33740:Katekyou Hitman Reborn! x ēlDLIVE Special
source,354,2.285,0,15138,18053:Koi to Senkyo to Chocolate: Ikenai Hazuki-sensei | 1598:Casshern: Robot Hunter | 1683:Di Gi Charat Nyo | 12035:Dwaeji-ui Wang | 938:Shin Getter Robo tai Neo Getter Robo
tags,121,0.781,0,15371,"38653:Dragon Ball Super: Broly - Skytree Super | 445:Tales of Eternia The Animation | 37967:Chuunibyou demo Koi ga Shitai! Movie: Take On Me - Weekly Short Movie ""Kotatsu DE Photo Session"" | 33562:Heibai Wushuang | 58735:Hanarokushou ga Akeru Hi ni"
genres,37,0.239,0,15455,21835:Majin Bone | 33187:Katsudou Shashin | 22419:Acchi wa Kocchi | 25259:Persona 4 the Animation: A Brief Lesson on Izanagi & Izanami | 32481:Love Live! Kouhaku Special Anime
aired_month,2,0.013,0,15490,33187:Katsudou Shashin | 42245:Tiger Mask Pilot Film
season,2,0.013,0,15490,33187:Katsudou Shashin | 42245:Tiger Mask Pilot Film
aired_year,0,0.0,0,15492,
duration,0,0.0,0,15492,
episodes,0,0.0,0,15492,
mal_id,0,0.0,0,15492,
members,0,0.0,0,15492,
score,0,0.0,0,15492,
title,0,0.0,0,15492,
total_watch_minutes,0,0.0,0,15492,
type,0,0.0,0,15492,
