field,mal_id,title,popularity,selected_value,unique_raw_values,unique_normalized_values,mal_value,anilist_value,anidb_value,derived_value
demographics,44511,Chainsaw Man,47,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,8074,Highschool of the Dead,82,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,31478,Bungou Stray Dogs,91,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,Seinen,Seinen,Shounen|Seinen,
demographics,6746,Durarara!!,99,Seinen,Seinen|Shoujo|Seinen,seinen|seinen|shoujo,,Seinen,Shoujo|Seinen,
demographics,14741,Chuunibyou demo Koi ga Shitai!,102,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,41025,Fumetsu no Anata e,192,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,32867,Bungou Stray Dogs 2nd Season,210,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,Seinen,Seinen,Shounen|Seinen,
demographics,10408,Hotarubi no Mori e,243,Shoujo,Kodomo|Shoujo,kodomo|shoujo,Shoujo,Shoujo,Kodomo,
demographics,54492,Kusuriya no Hitorigoto,255,Seinen,Seinen|Seinen|Josei,josei|seinen|seinen,,Seinen,Seinen|Josei,
demographics,18671,Chuunibyou demo Koi ga Shitai! Ren,289,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,22789,Barakamon,331,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,38003,Bungou Stray Dogs 3rd Season,335,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,Seinen,Seinen,Shounen|Seinen,
demographics,1887,Lucky☆Star,345,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,47194,Summertime Render,356,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Shounen,Seinen,
demographics,527,Pokemon,357,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,7724,Shiki,379,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,,Shounen|Seinen,
demographics,6213,Toaru Kagaku no Railgun,380,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,48661,JoJo no Kimyou na Bouken Part 6: Stone Ocean,402,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,41226,Uzaki-chan wa Asobitai!,479,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,513,Shoujo,Shoujo|Shoujo|Josei,josei|shoujo|shoujo,Shoujo,,Shoujo|Josei,
demographics,40010,Ishuzoku Reviewers,521,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,10161,No.6,572,Shoujo,Shoujo|Shoujo|Josei,josei|shoujo|shoujo,,Shoujo,Shoujo|Josei,
demographics,12445,Tasogare Otome x Amnesia,593,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,66,Azumanga Daiou The Animation,628,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,552,Digimon Adventure,633,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,16049,Toaru Kagaku no Railgun S,655,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,34626,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,668,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,685,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,,Shounen,Shounen|Seinen,
demographics,44942,Shuumatsu no Walküre,688,Seinen,Seinen|Shounen,seinen|shounen,Seinen,Seinen,Shounen,
demographics,38753,Araburu Kisetsu no Otome-domo yo.,731,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,,
demographics,39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,733,Josei,Josei|Shoujo,josei|shoujo,,Josei,Shoujo,
demographics,6500,Seikon no Qwaser,785,Seinen,Seinen|Shounen|Shounen|Seinen,seinen|seinen|shounen|shounen,Seinen,Shounen,Shounen|Seinen,
demographics,28819,Okusama ga Seitokaichou!,886,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,Shounen,
demographics,9936,Maken-Ki!,889,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,Shounen,Shounen|Seinen,
demographics,53273,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,903,Shounen,Shounen|Shounen|Seinen,seinen|shounen|shounen,Shounen,,Shounen|Seinen,
demographics,31229,Servamp,917,Josei,Josei|Shoujo,josei|shoujo,Josei,Shoujo,,
demographics,597,Neko no Ongaeshi,922,Shoujo,Kodomo|Shoujo,kodomo|shoujo,,Shoujo,Kodomo,
demographics,14829,Fate/kaleid liner Prisma☆Illya,955,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,528,Pokemon Movie 01: Mewtwo no Gyakushuu,989,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,6512,Nyan Koi!,1007,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,42282,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,1023,Shoujo,Shoujo|Shoujo|Josei,josei|shoujo|shoujo,Shoujo,,Shoujo|Josei,
demographics,38481,Toaru Kagaku no Railgun T,1062,Shounen,Seinen|Shounen,seinen|shounen,,Shounen,Seinen,
demographics,42962,Uzaki-chan wa Asobitai! Double,1117,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,14397,Chihayafuru 2,1125,Josei,Josei|Shoujo|Josei,josei|josei|shoujo,Josei,Josei,Shoujo|Josei,
demographics,16201,Aku no Hana,1141,Shounen,Seinen|Shounen,seinen|shounen,Shounen,Seinen,Shounen,
demographics,20159,Pokemon: The Origin,1154,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,5231,Inazuma Eleven,1181,Kodomo,Kodomo|Shounen|Kodomo,kodomo|kodomo|shounen,,Kodomo,Shounen|Kodomo,
demographics,43814,Deatte 5-byou de Battle,1182,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,56352,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",1185,Shoujo,Josei|Shoujo,josei|shoujo,,Shoujo,Josei,
demographics,1313,Digimon Adventure 02,1219,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,50854,"Benriya Saitou-san, Isekai ni Iku",1238,Seinen,Seinen|Shounen,seinen|shounen,,Seinen,Shounen,
demographics,61469,Steel Ball Run: JoJo no Kimyou na Bouken,1300,Seinen|Shounen,Seinen|Seinen|Shounen,seinen|seinen|shounen,Seinen|Shounen,Seinen,,
demographics,874,Digimon Tamers,1327,Kodomo,Kodomo|Shounen,kodomo|shounen,,Kodomo,Shounen,
demographics,54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,1332,Shoujo,Shoujo|Shoujo|Josei,josei|shoujo|shoujo,,Shoujo,Shoujo|Josei,
demographics,10321,Uta no☆Prince-sama♪ Maji Love 1000%,1363,Josei,Josei|Shoujo,josei|shoujo,Josei,,Shoujo,
demographics,36124,Itou Junji: Collection,1377,Josei,Josei|Seinen,josei|seinen,,Josei,Seinen,
demographics,134,Gunslinger Girl,1379,Seinen,Seinen|Shounen|Seinen,seinen|seinen|shounen,,Seinen,Shounen|Seinen,
demographics,1564,Pokemon Advanced Generation,1380,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,1117,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,1381,Kodomo,Kodomo|Shounen,kodomo|shounen,Kodomo,Kodomo,Shounen,
demographics,36754,Kakuriyo no Yadomeshi,1410,Shoujo,Josei|Shoujo,josei|shoujo,,Shoujo,Josei,
demographics,36864,Akkun to Kanojo,1418,Shoujo,Josei|Shoujo,josei|shoujo,Josei,Shoujo,Shoujo,
