old_animeID,animeID
1,431
2,1535
3,15315
4,14345
5,11757
6,199
7,164
8,14513
9,11759
10,5630
11,7711
12,1
13,121
14,392
15,3588
16,6880
17,168
18,411
19,2236
20,16498
21,9760
22,16512
23,2966
24,10379
25,15809
26,8142
27,12355
28,9834
29,550
30,2476
31,2952
32,2890
33,512
34,4970
35,1292
36,20
37,249
38,205
39,9919
40,12815
41,150
42,457
43,1138
44,552
45,10165
46,223
47,225
48,813
49,12231
50,901
51,985
52,986
53,899
54,8074
55,14833
56,250
57,154
58,696
59,1735
60,45
61,44
62,6
63,437
64,227
65,323
66,7088
67,1769
68,857
69,5681
70,10408
71,9253
72,14837
73,763
74,527
75,528
76,13601
77,10711
78,6594
79,10620
80,1829
81,2418
82,9756
83,7724
84,10863
85,14075
86,6547
87,9846
88,22199
89,4650
90,8626
91,23831
92,30276
93,31043
94,34240
95,30694
96,14719
97,33489
98,32949
99,5114
100,31964
101,37521
102,777
103,918
104,8841
105,15109
106,597
107,513
108,523
109,1030
110,16524
111,9513
112,13163
113,10087
114,1526
115,5081
116,14765
117,416
118,11633
119,16009
120,11843
121,19815
122,5
123,48
124,57
125,64
126,79
127,97
128,98
129,134
130,194
131,329
132,356
133,369
134,469
135,522
136,710
137,770
138,790
139,873
140,877
141,889
142,1004
143,1519
144,1575
145,1719
146,1943
147,2025
148,2904
149,2969
150,4106
151,4901
152,6372
153,6399
154,6637
155,6746
156,7059
157,9201
158,9314
159,11285
160,12189
161,16417
162,4469
163,269
164,1686
165,762
166,834
167,2889
168,8247
169,4835
170,2472
171,10589
172,8246
173,4437
174,6325
175,2144
176,6033
177,2520
178,892
179,894
180,10017
181,893
182,984
183,897
184,905
185,898
186,900
187,902
188,987
189,502
190,906
191,896
192,895
193,891
194,903
195,904
196,5152
197,11359
198,5525
199,430
200,9135
201,46
202,12979
203,9999
204,15323
205,4155
206,16239
207,1238
208,466
209,8740
210,1237
211,1094
212,2020
213,270
214,7
215,16
216,18
217,19
218,21
219,24
220,25
221,26
222,27
223,30
224,32
225,33
226,50
227,52
228,53
229,54
230,59
231,60
232,62
233,63
234,65
235,66
236,68
237,71
238,72
239,73
240,75
241,81
242,93
243,94
244,102
245,109
246,132
247,133
248,135
249,136
250,137
251,138
252,139
253,143
254,145
255,146
256,147
257,149
258,153
259,157
260,161
261,165
262,167
263,174
264,177
265,185
266,186
267,187
268,189
269,190
270,193
271,195
272,196
273,197
274,198
275,226
276,228
277,232
278,236
279,237
280,240
281,241
282,242
283,245
284,252
285,253
286,257
287,267
288,274
289,276
290,277
291,291
292,297
293,325
294,335
295,338
296,339
297,341
298,342
299,343
300,355
301,357
302,379
303,383
304,384
305,387
306,394
307,395
308,407
309,427
310,433
311,442
312,448
313,467
314,470
315,477
316,486
317,487
318,488
319,490
320,529
321,534
322,559
323,576
324,579
325,584
326,644
327,652
328,670
329,721
330,801
331,820
332,822
333,845
334,846
335,849
336,853
337,856
338,860
339,861
340,878
341,909
342,916
343,933
344,934
345,935
346,936
347,940
348,944
349,953
350,962
351,969
352,973
353,974
354,1003
355,1017
356,1067
357,1080
358,1086
359,1142
360,1156
361,1195
362,1210
363,1212
364,1218
365,1243
366,1250
367,1379
368,1482
369,1498
370,1530
371,1536
372,1559
373,1566
374,1571
375,1589
376,1602
377,1606
378,1607
379,1689
380,1690
381,1691
382,1698
383,1699
384,1723
385,1726
386,1727
387,1813
388,1818
389,1827
390,1840
391,1841
392,1852
393,1860
394,1887
395,1889
396,1941
397,1956
398,1965
399,1974
400,2001
401,2026
402,2031
403,2034
404,2104
405,2129
406,2158
407,2161
408,2164
409,2167
410,2175
411,2251
412,2369
413,2403
414,2494
415,2508
416,2559
417,2581
418,2593
419,2595
420,2596
421,2602
422,2605
423,2683
424,2746
425,2787
426,2795
427,2924
428,2926
429,2963
430,2985
431,2986
432,2993
433,2994
434,3001
435,3002
436,3089
437,3090
438,3091
439,3165
440,3225
441,3228
442,3229
443,3230
444,3231
445,3297
446,3298
447,3318
448,3322
449,3358
450,3420
451,3455
452,3467
453,3503
454,3549
455,3572
456,3593
457,3594
458,3604
459,3613
460,3627
461,3673
462,3701
463,3702
464,3712
465,3782
466,3783
467,3927
468,3958
469,4039
470,4063
471,4066
472,4081
473,4087
474,4163
475,4177
476,4181
477,4186
478,4192
479,4196
480,4214
481,4224
482,4280
483,4282
484,4382
485,4415
486,4472
487,4548
488,4550
489,4654
490,4672
491,4726
492,4752
493,4789
494,4872
495,4884
496,4896
497,4898
498,4975
499,4981
500,4999
501,5030
502,5039
503,5040
504,5079
505,5150
506,5162
507,5177
508,5178
509,5204
510,5205
511,5220
512,5300
513,5341
514,5356
515,5420
516,5505
517,5507
518,5530
519,5597
520,5678
521,5680
522,5682
523,5781
524,5909
525,5914
526,5958
527,6030
528,6098
529,6114
530,6201
531,6205
532,6211
533,6213
534,6288
535,6324
536,6336
537,6347
538,6377
539,6444
540,6512
541,6573
542,6574
543,6586
544,6675
545,6702
546,6707
547,6747
548,6773
549,6774
550,6956
551,6974
552,6979
553,6984
554,7044
555,7054
556,7062
557,7148
558,7193
559,7311
560,7338
561,7465
562,7588
563,7590
564,7592
565,7593
566,7647
567,7674
568,7769
569,7785
570,7817
571,8086
572,8100
573,8129
574,8311
575,8424
576,8425
577,8476
578,8525
579,8557
580,8630
581,8675
582,8726
583,8769
584,8795
585,8915
586,8917
587,8937
588,9041
589,9074
590,9181
591,9289
592,9330
593,9331
594,9367
595,9379
596,9563
597,9587
598,9736
599,9776
600,9863
601,9938
602,9941
603,9989
604,10020
605,10030
606,15
607,22
608,28
609,67
610,160
611,239
612,256
613,263
614,264
615,265
616,268
617,376
618,449
619,450
620,451
621,452
622,459
623,460
624,461
625,462
626,463
627,464
628,465
629,530
630,558
631,627
632,645
633,658
634,814
635,815
636,995
637,1015
638,1190
639,1317
640,1531
641,1581
642,1594
643,1604
644,1815
645,1842
646,1913
647,2002
648,2004
649,2107
650,2486
651,2589
652,2752
653,2784
654,2899
655,2951
656,3014
657,3015
658,3016
659,3226
660,3371
661,3389
662,3652
663,3665
664,3713
665,3791
666,3848
667,4053
668,4059
669,4107
670,4182
671,4565
672,4725
673,5028
674,5029
675,5228
676,5251
677,5252
678,5258
679,5751
680,5764
681,5941
682,6351
683,6421
684,6572
685,6811
686,6862
687,7472
688,7627
689,7655
690,8408
691,9062
692,9471
693,9515
694,9890
695,9969
696,10271
697,10418
698,10588
699,11111
700,11371
701,11553
702,11771
703,11917
704,12069
705,12531
706,13587
707,18507
708,16742
709,16592
710,16916
711,8888
712,12115
713,12113
714,10218
715,10573
716,13659
717,14741
718,11741
719,3457
720,2159
721,400
722,16143
723,15197
724,15417
725,15335
726,11061
727,16894
728,3887
729,11577
730,31
731,43
732,47
733,322
734,393
735,468
736,548
737,565
738,570
739,578
740,587
741,634
742,656
743,875
744,1023
745,1085
746,1105
747,1106
748,1303
749,1361
750,1462
751,1951
752,1978
753,1980
754,2154
755,2182
756,2210
757,2235
758,2759
759,2832
760,3087
761,3088
762,3342
763,3508
764,3784
765,3901
766,4037
767,4094
768,4460
769,5593
770,5955
771,6007
772,6045
773,6162
774,6164
775,6408
776,6624
777,6682
778,6795
779,6867
780,6954
781,7791
782,8023
783,8426
784,8440
785,8460
786,8676
787,8861
788,9047
789,9055
790,9213
791,9656
792,9712
793,9734
794,9782
795,9922
796,9925
797,10067
798,10080
799,10083
800,10110
801,10161
802,10162
803,10163
804,10191
805,10294
806,10357
807,10372
808,10389
809,10397
810,10445
811,10448
812,10469
813,10490
814,10495
815,10568
816,10638
817,10681
818,10713
819,10714
820,10715
821,10716
822,10717
823,10719
824,10721
825,10790
826,10793
827,10798
828,10800
829,10805
830,10935
831,11235
832,11433
833,11499
834,11531
835,11597
836,11665
837,11701
838,12321
839,12413
840,12445
841,12467
842,12477
843,12883
844,13333
845,13409
846,3785
847,101
848,3167
849,16782
850,14397
851,14353
852,16774
853,18041
854,14349
855,16201
856,14515
857,202
858,17677
859,14175
860,17909
861,479
862,1557
863,419
864,408
865,6151
866,8986
867,6793
868,238
869,11083
870,3407
871,170
872,210
873,4798
874,10033
875,2213
876,2116
877,8516
878,1565
879,4793
880,10302
881,11073
882,1525
883,4792
884,6385
885,7550
886,4874
887,1118
888,1117
889,1709
890,1122
891,1121
892,11009
893,8438
894,1120
895,2847
896,5256
897,2201
898,6178
899,2842
900,6275
901,14467
902,516
903,1470
904,1471
905,1472
906,1473
907,5962
908,288
909,13231
910,8410
911,1668
912,1669
913,1670
914,80
915,5231
916,9479
917,572
918,4722
919,11179
920,12679
921,13599
922,13759
923,14227
924,8792
925,209
926,16355
927,14289
928,15225
929,18679
930,17875
931,14813
932,1140
933,15689
934,18119
935,14829
936,208
937,15687
938,17831
939,15037
940,8857
941,16353
942,17651
