mal_id,anilist_id,title,type,staff_id_anilist,staff_name,staff_role,staff_role_group,staff_language,staff_favorites_mal,staff_favorites_anilist,staff_favorites,source,staff_group_key
1,1.0,Cowboy Bebop,TV,97197,"Yatate, Hajime",Original Creator,original_creator,Japanese,156,203,203,AniList,staff_id_anilist:97197
1,1.0,Cowboy Bebop,TV,97009,"Watanabe, Shinichirou",Director,director,Japanese,15914,4229,15914,AniList,staff_id_anilist:97009
5,5.0,Cowboy Bebop: Tengoku no Tobira,Movie,97197,"Yatate, Hajime",Original Creator,original_creator,Japanese,156,203,203,AniList,staff_id_anilist:97197
5,5.0,Cowboy Bebop: Tengoku no Tobira,Movie,97009,"Watanabe, Shinichirou",Director,director,Japanese,15914,4229,15914,AniList,staff_id_anilist:97009
6,6.0,Trigun,TV,98098,"Nightow, Yasuhiro",Original Creator,original_creator,Japanese,652,367,652,AniList,staff_id_anilist:98098
6,6.0,Trigun,TV,105285,"Nishimura, Satoshi",Director,director,Japanese,56,21,56,AniList,staff_id_anilist:105285
7,7.0,Witch Hunter Robin,TV,100793,"Murase, Shuukou",Director,director,Japanese,0,109,109,AniList,staff_id_anilist:100793
8,8.0,Bouken Ou Beet,TV,97954,"Sanjou, Riku",Original Creator,original_creator,Japanese,19,35,35,AniList,staff_id_anilist:97954
8,8.0,Bouken Ou Beet,TV,107867,"Nagamine, Tatsuya",Director,director,Japanese,58,47,58,AniList,staff_id_anilist:107867
8,8.0,Bouken Ou Beet,TV,97955,"Inada, Kouji",Original Character Design,original_character_design,Japanese,0,8,8,AniList,staff_id_anilist:97955
15,15.0,Eyeshield 21,TV,96902,"Inagaki, Riichirou",Original Story,original_creator,Japanese,0,311,311,AniList,staff_id_anilist:96902
15,15.0,Eyeshield 21,TV,96903,"Murata, Yuusuke",Original Character Design,original_character_design,Japanese,3,2813,2813,AniList,staff_id_anilist:96903
16,16.0,Hachimitsu to Clover,TV,97891,"Umino, Chica",Original Creator,original_creator,Japanese,2181,1218,2181,AniList,staff_id_anilist:97891
16,16.0,Hachimitsu to Clover,TV,101598,"Kasai, Kenichi",Director,director,Japanese,101,11,101,AniList,staff_id_anilist:101598
17,17.0,Hungry Heart: Wild Striker,TV,98927,"Takahashi, Youichi",Original Creator,original_creator,Japanese,1,46,46,AniList,staff_id_anilist:98927
17,17.0,Hungry Heart: Wild Striker,TV,134974,"Saga, Satoshi",Director,director,Japanese,0,3,3,AniList,staff_id_anilist:134974
18,18.0,Initial D Fourth Stage,TV,97357,"Shigeno, Shuuichi",Original Creator,original_creator,Japanese,532,234,532,AniList,staff_id_anilist:97357
18,18.0,Initial D Fourth Stage,TV,100641,"Tominaga, Tsuneo",Director,director,Japanese,9,4,9,AniList,staff_id_anilist:100641
19,19.0,Monster,TV,96867,"Urasawa, Naoki",Original Creator,original_creator,Japanese,24108,9140,24108,AniList,staff_id_anilist:96867
19,19.0,Monster,TV,106507,"Kojima, Masayuki",Director,director,Japanese,284,139,284,AniList,staff_id_anilist:106507
19,19.0,Monster,TV,102349,"Kousaka, Kitarou",Original Character Design,original_character_design,Japanese,13,24,24,AniList,staff_id_anilist:102349
20,20.0,Naruto,TV,96879,"Kishimoto, Masashi",Original Creator,original_creator,Japanese,14612,2825,14612,AniList,staff_id_anilist:96879
20,20.0,Naruto,TV,100843,"Date, Hayato",Director,director,Japanese,74,18,74,AniList,staff_id_anilist:100843
21,21.0,One Piece,TV,96881,"Oda, Eiichirou",Original Creator,original_creator,Japanese,0,12941,12941,AniList,staff_id_anilist:96881
22,22.0,Tennis no Oujisama,TV,96909,"Konomi, Takeshi",Original Creator,original_creator,Japanese,98,22,98,AniList,staff_id_anilist:96909
22,22.0,Tennis no Oujisama,TV,101952,"Hamana, Takayuki",Director,director,Japanese,11,6,11,AniList,staff_id_anilist:101952
23,23.0,Ring ni Kakero 1,TV,96999,"Kurumada, Masami",Original Creator,original_creator,Japanese,638,182,638,AniList,staff_id_anilist:96999
24,24.0,School Rumble,TV,97135,"Kobayashi, Jin",Original Creator,original_creator,Japanese,223,30,223,AniList,staff_id_anilist:97135
24,24.0,School Rumble,TV,100152,"Takamatsu, Shinji",Director,director,Japanese,302,102,302,AniList,staff_id_anilist:100152
25,25.0,Sunabouzu,TV,101381,"Usune, Masatoshi",Original Creator,original_creator,Japanese,7,10,10,AniList,staff_id_anilist:101381
25,25.0,Sunabouzu,TV,101186,"Inagaki, Takayuki",Director,director,Japanese,12,1,12,AniList,staff_id_anilist:101186
26,26.0,Texhnolyze,TV,101369,"Hamasaki, Hiroshi",Director,director,Japanese,764,306,764,AniList,staff_id_anilist:101369
26,26.0,Texhnolyze,TV,96991,"ABe, Yoshitoshi",Original Character Design,original_character_design,Japanese,5280,2510,5280,AniList,staff_id_anilist:96991
27,27.0,Trinity Blood,TV,97494,"Yoshida, Sunao",Original Story,original_creator,Japanese,33,6,33,AniList,staff_id_anilist:97494
27,27.0,Trinity Blood,TV,122071,"Hirata, Tomohiro",Director,director,Japanese,1,7,7,AniList,staff_id_anilist:122071
27,27.0,Trinity Blood,TV,101328,"Shibamoto, THORES",Original Character Design,original_character_design,Japanese,56,88,88,AniList,staff_id_anilist:101328
28,28.0,Yakitate!! Japan,TV,97805,"Hashiguchi, Takashi",Original Creator,original_creator,Japanese,8,7,8,AniList,staff_id_anilist:97805
28,28.0,Yakitate!! Japan,TV,134782,"Aoki, Yasunao",Director,director,Japanese,0,1,1,AniList,staff_id_anilist:134782
29,29.0,Zipang,TV,97204,"Kawaguchi, Kaiji",Original Creator,original_creator,Japanese,40,35,40,AniList,staff_id_anilist:97204
29,29.0,Zipang,TV,100655,"Furuhashi, Kazuhiro",Director,director,Japanese,190,117,190,AniList,staff_id_anilist:100655
30,30.0,Shinseiki Evangelion,TV,100111,"Anno, Hideaki",Original Creator,original_creator,Japanese,24335,7026,24335,AniList,staff_id_anilist:100111
30,30.0,Shinseiki Evangelion,TV,100111,"Anno, Hideaki",Director,director,Japanese,24335,7026,24335,AniList,staff_id_anilist:100111
