character_name,character_id_anilist,character_id_mal,character_favorites_mal,character_favorites_anilist,character_favorites,anime_count,anime_ids,voice_actor_names
"Lamperouge, Lelouch",417,417,179832,28043,179832,24,1575|1953|2124|2904|4596|5163|6768|8728|12685|15197|15199|15201|30711|33155|33156|34437|34438|34439|34440|40315|40334|40836|41075|56835,"Fukuyama, Jun"
"Monkey D., Luffy",40,40,149059,35685,149059,39,21|459|460|461|462|463|464|465|466|1094|1237|1238|2020|2107|2385|2386|3848|4155|5252|8740|9999|12859|16239|16468|19123|25161|28683|31289|31490|32051|33338|33606|36215|37902|38234|50410|60022|60108|60790,"Tanaka, Mayumi|Takano, Urara"
Levi,45627,45627,146418,41891,146418,22,16498|18397|19285|19391|23775|23777|25777|25781|31374|33190|35122|35760|36702|38524|39196|39477|40028|42091|48583|49627|51535|59571,"Kamiya, Hiroshi|Fuku, Sanae|Narahashi, Miki"
"Lawliet, L",71,71,131437,28044,131437,2,1535|2994,"Yamaguchi, Kappei"
"Roronoa, Zoro",62,62,116095,28517,116095,43,21|459|460|461|462|463|464|465|466|1094|1237|1238|2020|2107|2385|2386|2490|3848|4155|5252|8171|9999|12859|15323|16239|16468|19123|23933|23935|25161|28683|31289|31490|32051|33338|33606|36215|37902|38234|50410|56055|60022|60108,"Nakai, Kazuya|Takagi, Wataru"
"Zoldyck, Killua",27,27,101353,36667,101353,7,136|137|138|139|11061|13271|19951,"Mitsuhashi, Kanako|Ise, Mariya"
"Okabe, Rintarou",35252,35252,100141,21456,100141,6,10863|11577|27957|30484|32188|37492,"Miyano, Mamoru"
"Yagami, Light",80,80,99748,21163,99748,2,1535|2994,"Miyano, Mamoru"
"Elric, Edward",11,11,91397,19667,91397,8,121|430|664|908|6421|7902|9135|10842,"Park, Romi"
"Uzumaki, Naruto",17,17,87710,19445,87710,26,20|442|594|761|936|1074|1735|2144|2248|2472|4134|4437|6325|7367|8246|10589|10659|10686|12979|13667|16870|19511|28755|32365|34566|35072,"Takeuchi, Junko"
Guts,422,422,86176,23708,86176,11,33|10218|12113|12115|18679|21659|32379|34055|35009|35676|52976,"Canna, Nobutoshi|Iwanaga, Hiroaki|Konishi, Katsuyuki"
"Sakata, Gintoki",672,672,76620,16385,76620,28,918|2951|6945|7472|9735|9863|9969|10643|15335|15417|21899|25313|28977|32122|32366|34096|34612|35843|36838|37491|39486|40323|44087|54757|54761|56544|58091|59688,"Sugita, Tomokazu"
"Yeager, Eren",40882,40882,74774,33676,74774,20,16498|18397|19285|19391|23775|23777|25777|31374|35122|35760|36106|36702|38524|39477|40028|42091|48583|49627|51535|59571,"Kaji, Yuuki"
"Makise, Kurisu",34470,34470,69084,22637,69084,6,10863|11577|27957|30484|32188|37492,"Imai, Asami"
"Uchiha, Itachi",14,14,67667,22596,67667,7,20|1735|2248|4134|12979|13667|19511,"Ishikawa, Hideo"
"Gojou, Satoru",127691,164471,64041,40641,64041,6,40748|48561|51009|56243|59654|62392,"Nakamura, Yuuichi"
"Ackerman, Mikasa",40881,40881,57017,27860,57017,20,16498|18397|19285|19391|23775|23777|25777|31374|35122|35760|36106|36702|38524|39477|40028|42091|48583|49627|51535|59571,"Ishikawa, Yui"
"Kaneki, Ken",87275,87275,55275,27132,55275,4,22319|27899|36511|37799,"Hanae, Natsuki"
"Hikigaya, Hachiman",67065,67065,53483,13065,53483,6,14813|18753|23847|33161|39547|46431,"Eguchi, Takuya"
"Hatake, Kakashi",85,85,49129,22107,49129,21,20|442|594|761|1074|1735|2144|2472|4134|4437|6325|7367|8246|10589|10659|10686|12979|13667|16870|32365|34566,"Inoue, Kazuhiko|Suzumura, Kenichi|Tamura, Mutsumi"
"Spiegel, Spike",1,1,49112,14585,49112,3,1|5|4037,"Yamadera, Kouichi"
Saitama,73935,73935,48074,15940,48074,6,30276|31704|31772|34134|39705|52807,"Furukawa, Makoto"
Rem,22356,22356,47536,16824,47536,16,1050|1535|2994|31240|33142|33569|36286|38414|38472|39587|39988|41567|42203|54857|60012|61851,"Shiraishi, Ryouko|Saitou, Kimiko|Minase, Inori"
"Joestar, Joseph",6356,6356,44125,17313,44125,6,665|666|14719|20899|26055|31933,"Ootsuka, Chikao|Sugita, Tomokazu|Ishizuka, Unshou"
Megumin,89361,117225,42297,17270,42297,12,30831|32380|32937|34626|38040|38472|39988|41567|49458|51958|59833|61851,"Takahashi, Rie"
"Reigen, Arataka",89334,109931,42209,24169,42209,6,32182|36616|37504|37510|39651|50172,"Sakurai, Takahiro"
"Senjougahara, Hitagi",22037,22037,41323,15087,41323,13,5081|6948|11597|17074|23831|28025|31181|32268|35247|36796|36999|37139|57864,"Saitou, Chiwa"
"Kirigaya, Kazuto",36765,36765,40773,9409,40773,19,11757|16099|20021|21879|21881|27891|28063|31765|32901|36439|36474|39239|39597|40489|40540|41341|42916|50275|55994,"Matsuoka, Yoshitsugu"
"Sakurajima, Mai",127222,118739,40335,22183,40335,5,37450|38329|53129|54870|57433,"Seto, Asami"
"Evergarden, Violet",90169,141354,39551,20976,39551,5,33352|37095|37987|39741|53672,"Ishikawa, Yui"
"Mustang, Roy",68,68,39531,14716,39531,8,121|430|664|908|6421|7902|9135|10842,"Ookawa, Tooru|Miki, Shinichiro|Miki, Shinichirou"
Yato,84677,84677,39528,13901,39528,5,20507|20767|30503|30885|50205,"Kamiya, Hiroshi|Fujita, Saki"
"Two, Zero",124381,155679,37821,15998,37821,1,35849,"Tomatsu, Haruka"
"Kurosaki, Ichigo",5,5,36974,14246,36974,12,269|762|834|1686|2889|4835|8247|35118|38810|41467|53998|56784,"Morita, Masakazu"
"Ayanokouji, Kiyotaka",123212,128909,36586,16175,36586,3,35507|51096|51180,"Chiba, Shouya"
"Dazai, Osamu",89198,125056,36353,17530,36353,9,31478|32867|33071|34944|38003|40934|42250|50330|54898,"Miyano, Mamoru|Nakamura, Yuuichi"
"Monkey, Luffy",40,,0,35685,35685,34,21|459|460|461|462|463|464|465|1094|1237|1238|2020|2107|2385|2386|2490|3848|4155|9999|12859|15323|16239|19123|23933|23935|25161|31289|31490|32051|33338|36215|37902|38234|50410,"Clinkenbeard, Colleen|Schlauch, Daniel|Novara, Renato|Tanaka, Mayumi"
"Karlsefni, Thorfinn",10138,10138,35628,22095,35628,2,37521|49387,"Uemura, Yuuto"
Thorfinn,,10138,35628,0,35628,1,54463,"Uemura, Yuuto"
"Morow, Hisoka",31,31,35468,15647,35468,7,136|137|138|139|11061|13271|19951,"Takahashi, Hiroki|Namikawa, Daisuke"
Kamina,2075,2075,34805,9304,34805,7,2001|3352|4107|4565|5947|10622|62863,"Konishi, Katsuyuki|Ishihara, Kaori"
"Onizuka, Eikichi",434,434,33834,7447,33834,3,245|1913|41043,"Takagi, Wataru|Futamata, Issei"
Saber,31067,497,33469,1,33469,33,356|1161|6922|7559|10012|10087|11741|12187|13183|14829|15927|19165|22297|25537|28701|28907|31389|31637|33047|33049|33050|34321|34662|37033|37651|38086|40206|40469|41497|44248|53127|57691|62149,"Kawasumi, Ayako|Koyasu, Takehito|Tange, Sakura|Kawanishi, Kengo"
"Oshino, Shinobu",23602,23602,33371,14221,33371,15,9260|11597|15689|17074|21855|28025|31181|31757|31758|32268|35247|36796|36999|56609|57864,"Sakamoto, Maaya"
Sanji,305,305,33335,15078,33335,39,21|460|461|462|463|464|465|1094|1237|1238|2020|2107|2385|2386|2490|3848|4155|5252|9999|12859|15323|16239|16468|19123|23933|23935|25161|28683|31289|31490|32051|33338|33606|36215|37902|38234|50410|60022|60108,"Ootani, Ikue|Hirata, Hiroaki"
"Aisaka, Taiga",12064,12064,31906,9153,31906,4,4224|6127|11553|51200,"Kugimiya, Rie"
"Souryuu, Asuka Langley",94,94,30935,14685,30935,9,30|31|32|3784|3785|3786|36531|39967|53246,"Miyamura, Yuuko"
"Araragi, Koyomi",22036,22036,30612,12699,30612,18,5081|6948|9260|11597|15689|17074|21855|28025|31181|31757|31758|32268|35247|36796|36999|37139|56609|57864,"Kamiya, Hiroshi"
"Son, Gokuu",246,218,30543,9677,30543,58,129|130|131|223|225|484|502|813|891|892|893|894|895|896|897|898|899|900|901|902|903|904|905|906|984|986|987|1035|2143|2520|3218|3312|4476|5152|6033|6093|6714|9088|9531|10017|11359|14837|15307|17137|20189|22695|22777|23933|23935|25389|30694|33026|33726|36946|37885|45783|48903|56894,"Hoshi, Souichirou|Cho|Nozawa, Masako"
"Gokuu, Son",,57877,30543,9674,30543,1,1735,"Yasumoto, Hiroki"
Askeladd,13020,13020,30345,16560,30345,2,37521|49387,"Uchida, Naoya"
"Uchiha, Sasuke",13,13,30241,13842,30241,18,20|442|594|761|1074|1735|2248|4134|4437|6325|7367|10659|12979|13667|16870|19511|28755|34566,"Sugiyama, Noriaki|Touyama, Nao"
"Yuuki, Asuna",36828,36828,29883,10767,29883,16,11757|16099|20021|21879|21881|27891|28063|31765|36439|36474|39597|40489|40540|41341|42916|50275,"Tomatsu, Haruka"
Alucard,601,601,29327,6237,29327,8,270|777|2758|6904|7728|8162|11077|58437,"Nakata, Jouji|Wakamoto, Norio|Ginga, Banjou|Shingaki, Tarusuke"
"Gasai, Yuno",4963,4963,29303,6332,29303,4,8460|10620|12503|16762,"Murata, Tomosa"
Holo,7373,7373,29211,7244,29211,7,2966|5341|6007|6884|32901|34572|51122,"Koshimizu, Ami|Mano, Ayumi"
"Smith, Erwin",46496,46496,28881,13399,28881,15,16498|18397|19391|23775|23777|25777|25781|31374|35760|36702|38524|39477|42091|51535|59571,"Ono, Daisuke"
Emilia,2050,2050,24294,28335,28335,26,1699|2761|3162|14765|31240|32370|33142|33569|36286|37245|37247|37587|37806|38276|38414|38472|39587|39988|40942|41567|42203|42364|52830|54857|60012|61851,"Kawasumi, Ayako|Nakatani, Yumi|Yamamoto, Yuriko|Endou, Aya|Takahashi, Rie|Suzaki, Aya|Mori, Nanako|Hoshino, Hazuki|Yamamura, Hibiku|Ichimichi, Mao|Ai, Fairouz"
C.C.,1111,1111,28290,10801,28290,19,1575|2124|2904|4596|5163|6768|8728|12685|15199|33156|34437|34438|34439|34440|40315|40334|40836|41075|56835,Yukana
"Kageyama, Shigeo",89616,109929,27888,20388,27888,6,32182|36616|37504|37510|39651|50172,"Itou, Setsuo"
"Liebert, Johan",719,719,27676,11164,27676,2,19|1109,"Uemura, Yuuto|Sasaki, Nozomu"
"Natsuki, Subaru",88573,118735,27664,14904,27664,15,31240|33142|33569|36286|38414|38472|39587|39988|41567|42203|42364|54857|55636|60012|61851,"Kobayashi, Yuusuke"
"Akemi, Homura",38005,38005,27323,11837,27323,7,9756|11977|11979|11981|32153|41530|49848,"Saitou, Chiwa"
"Kuujou, Joutarou",4003,4003,27215,14577,27215,9,665|666|20899|26055|31933|37991|48661|51367|53273,"Kosugi, Juurouta|Ono, Daisuke"
"Shinomiya, Kaguya",120649,136359,26763,21269,26763,6,37999|40591|43608|43609|52198|61903,"Koga, Aoi"
Kurapika,28,28,26509,21276,26509,8,136|137|138|139|10189|11061|13271|19951,"Kaida, Yuki|Hidaka, Noriko|Sawashiro, Miyuki"
"Midoriya, Izuku",89028,117909,26418,15657,26418,24,31964|33486|33929|35262|35459|36456|36896|38408|38699|39565|41587|42603|43683|44200|49918|50532|51781|54789|56196|56685|57519|60098|60593|60645,"Yamashita, Daiki|Watanabe, Akeno"
"Kitagawa, Marin",133676,166439,26334,16977,26334,2,48736|53065,"Suguta, Hina"
"Miyazono, Kaori",69411,69411,25529,9883,25529,2,23273|28069,"Taneda, Risa"
"Toosaka, Rin",,498,25395,0,25395,32,356|6922|7559|10012|10087|11741|12187|13183|14829|15927|18851|19109|20509|22297|25011|25537|26057|27525|27821|28701|31056|31389|31706|33047|33049|33050|33456|34100|37033|37651|38897|42030,"Ueda, Kana"
"Todoroki, Shouto",89220,118489,25386,19342,25386,21,31964|33486|33929|35262|35459|36456|36896|38408|39565|41587|42603|44200|49918|50532|51781|54789|56196|56685|57519|60098|60645,"Kaji, Yuuki|Shindou, Kei"
"Kamado, Tanjirou",126071,146156,25285,19421,25285,10,38000|40456|47398|47778|48861|49926|51019|55701|59192|61179,"Hanae, Natsuki"
"Saiki, Kusuo",90107,90291,24828,15583,24828,5,19469|33255|34612|38249|40542,"Asanuma, Shintaro|Tanaka, Aimi|Kamiya, Hiroshi|Tomatsu, Haruka"
Maomao,230968,220439,24548,21522,24548,8,40211|47612|54492|55774|56975|58514|60749|61876,"Ryu, Seira|Shen, Nianru|Yuuki, Aoi|Hidaka, Rina"
"Bakugou, Katsuki",88892,117911,24393,18296,24393,22,31964|33486|33929|35262|35459|36456|36896|38408|39565|41587|42603|43683|44200|49918|50532|51781|54789|56196|56685|57519|60098|60645,"Okamoto, Nobuhiko|Kokuryu, Sachi"
"Ishigami, Senkuu",124142,148984,24275,16083,24275,8,38691|40852|43555|48549|50612|55644|57592|61322,"Kobayashi, Yuusuke"
"Tempest, Rimuru",123962,131549,24270,13886,24270,14,37430|38793|39551|39607|41487|41488|45753|49877|51309|53580|54565|55720|58592|59493,"Okasaki, Miho"
"Nico, Robin",61,61,23981,14608,23981,33,21|462|463|464|465|1237|1238|2020|2107|2490|3848|4155|5252|9999|12859|16239|16468|19123|23933|23935|25161|28683|31289|31490|32051|33338|33606|36215|37902|38234|50410|60022|60108,"Yamaguchi, Yuriko"
"Yukinoshita, Yukino",67067,67067,23569,10235,23569,6,14813|18753|23847|33161|39547|46431,"Hayami, Saori"
Power,137079,170733,23334,20547,23334,3,44511|57555|62352,"Ai, Fairouz"
"Tokisaki, Kurumi",70069,70069,23272,8155,23272,10,15583|17641|19163|22961|24655|36633|40416|41461|42423|52196,"Sanada, Asami"
Revy,458,458,23197,8247,23197,4,889|1519|4901|8440,"Toyoguchi, Megumi"
Denji,130102,33747,23165,20811,23165,6,1565|5986|40351|44511|57555|62352,"Sakaguchi, Daisuke|Shioya, Yoku|Nojima, Hirofumi|Inoue, Marina|Toya, Kikunosuke"
"Oreki, Houtarou",55131,55131,22985,7672,22985,2,12189|13469,"Nakamura, Yuuichi"
"Freecss, Gon",30,30,22972,16186,22972,8,136|137|138|139|10189|11061|13271|19951,"Takeuchi, Junko|Matsumoto, Rica|Han, Megumi"
"Orihara, Izaya",24596,24596,22929,4498,22929,8,6746|8408|23199|27831|27833|30191|31552|32915,"Kamiya, Hiroshi"
"Michaelis, Sebastian",10863,10863,22674,5929,22674,11,4898|6163|6707|6793|8068|9136|22145|23317|31812|55855|59228,"Ono, Daisuke"
Makima,137080,170734,17832,22501,22501,3,44511|57555|62352,"Kusunoki, Tomori"
"Dragneel, Natsu",5187,5187,22493,5869,22493,11,6702|9982|12049|17535|18393|22043|30778|32930|35972|49785|60063,"Kakihara, Tetsuya"
"Nakano, Miku",126373,160603,22220,12186,22220,6,38101|39783|48548|54915|58755|64106,"Itou, Miku"
"Itadori, Yuuji",127212,163847,17771,22157,22157,5,40748|51009|56243|59654|62392,"Enoki, Junya"
"Ayanami, Rei",86,86,22111,11426,22111,9,30|31|32|2759|3784|3785|3786|36531|39967,"Hayashibara, Megumi"
"Ishigami, Yuu",121102,143185,21947,15319,21947,6,37999|40591|43608|43609|52198|61903,"Suzuki, Ryouta"
"Trafalgar, Law",13767,13767,21901,10287,21901,7,21|25161|31289|38234|50410|55647|60790,"Kamiya, Hiroshi"
