staff_name,staff_id_anilist,staff_favorites_mal,staff_favorites_anilist,staff_favorites,anime_count,original_creator_count,director_count,original_character_design_count,staff_roles,anime_ids,anime_titles
"Miyazaki, Hayao",96870,74407,12085,74407,25,13,25,0,Original Creator|Director|Original Story,164|199|302|416|431|512|513|523|572|1430|2488|2614|2890|2895|3570|4306|6463|6975|9798|15021|15347|16662|19401|32133|36699,Mononoke Hime|Sen to Chihiro no Kamikakushi|Mirai Shounen Conan|Kurenai no Buta|Howl no Ugoku Shiro|Majo no Takkyuubin|Tenkuu no Shiro Laputa|Tonari no Totoro|Kaze no Tani no Nausicaä|Lupin III: Cagliostro no Shiro|Mei to Koneko Bus|Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu|Gake no Ue no Ponyo|Kujiratori|Yadosagashi|Mizugumo Monmon
"Araki, Hirohiko",97619,45668,15160,45668,12,12,0,0,Original Creator,665|666|1468|3603|14719|20899|26055|31933|33191|37991|48661|51367,JoJo no Kimyou na Bouken: Adventure|JoJo no Kimyou na Bouken|Baoh Raihousha|JoJo no Kimyou na Bouken: Phantom Blood|JoJo no Kimyou na Bouken (TV)|JoJo no Kimyou na Bouken Part 3: Stardust Crusaders|JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen|JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai|Kishibe Rohan wa Ugokanai|JoJo no Kimyou na Bouken Part 5: Ougon no Kaze|JoJo no Kimyou na Bouken Part 6: Stone Ocean|JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2
"Koyasu, Takehito",95160,37825,10646,37825,3,3,0,0,Original Creator,446|447|1024,Weiß Kreuz Glühen|Weiß Kreuz|Weiß Kreuz OVA
"Shinkai, Makoto",96117,33966,6803,33966,11,8,10,1,Director|Original Creator|Original Character Design,256|433|1004|1689|9760|16782|17121|32281|32491|38826|50594,"Hoshi no Koe|Kumo no Mukou, Yakusoku no Basho|Kanojo to Kanojo no Neko|Byousoku 5 Centimeter|Hoshi wo Ou Kodomo|Kotonoha no Niwa|Dareka no Manazashi|Kimi no Na wa.|Kanojo to Kanojo no Neko: Everything Flows|Tenki no Ko|Suzume no Tojimari"
"Miura, Kentarou",96868,26708,8842,26708,7,7,0,0,Original Creator,33|10218|12113|12115|32379|34055|52976,Kenpuu Denki Berserk|Berserk: Ougon Jidai-hen I - Haou no Tamago|Berserk: Ougon Jidai-hen II - Doldrey Kouryaku|Berserk: Ougon Jidai-hen III - Kourin|Berserk|Berserk 2nd Season|Berserk: Ougon Jidai-hen - Memorial Edition
"Kon, Satoshi",99580,26650,8219,26650,5,2,4,0,Original Creator|Director,323|437|759|1033|1943,Mousou Dairinin|Perfect Blue|Tokyo Godfathers|Sennen Joyuu|Paprika
"Anno, Hideaki",100111,24335,7026,24335,10,6,6,0,Original Creator|Director,30|32|145|949|2759|3080|3784|3786|53110|53246,"Shinseiki Evangelion|Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni|Kareshi Kanojo no Jijou|Top wo Nerae! Gunbuster|Evangelion Movie 1: Jo|Anime Tenchou|Evangelion Movie 2: Ha|Shin Evangelion Movie:|Bus Tei Nite...|Evangelion: 3.0 (-46h)"
"Urasawa, Naoki",96867,24108,9140,24108,8,7,0,1,Original Creator|Original Character Design,19|691|1483|1910|2008|2009|10629|35737,Monster|Yawara!|Master Keaton|Master Keaton OVA|Yawara! Sore Yuke Koshinuke Kids!!|Yawara!: Zutto Kimi no Koto ga...|Tibet Inu Monogatari|Pluto
"Itou, Junji",97410,23760,7825,23760,5,5,0,0,Original Creator,10417|36124|36992|40333|52031,Gyo|Itou Junji: Collection|Itou Junji: Collection - Tomie|Uzumaki|Itou Junji: Maniac
"Fujimoto, Tatsuki",119917,23059,14483,23059,4,4,0,0,Original Creator,44511|57555|58125|62405,Chainsaw Man|Chainsaw Man Movie: Reze-hen|Look Back|Fujimoto Tatsuki 17-26
