voice_actor_name,voice_actor_id_anilist,voice_actor_id_mal,voice_actor_favorites_mal,voice_actor_favorites_anilist,voice_actor_favorites,anime_count,main_role_count,supporting_role_count,anime_ids,anime_titles
"Kamiya, Hiroshi",95118,118,108534,20188,108534,435,189,258,6|16|21|23|25|69|111|133|144|148|178|179|272|288|337|343|356|358|359|384|395|479|485|490|644|790|850|859|878|881|907|1019|1132|1142|1215|1253|1314|1371|1483|1668|1674|1698|1727|1728|1744|1771|1826|2109|2110|2168|2330|2391|2562|2564|2580|2581|2605|2717|2732|2735|2777|3031|3228|3288|3572|3604|3646|3656|3674|3768|3927|4066|4081|4209|4454|4551|4563|4835|4872|5081|5200|5300|5310|5351|5504|5678|6171|6187|6288|6327|6377|6509|6547|6746|6772|6922|6948|6956|7044|7058|7083|7222|7270|7559|7647|7705|7762|7793|8038|8317|8339|8408|8514|8648|9032|9040|9062|9074|9252|9260|9314|9330|9465|9919|9926|10012|10067|10092|10178|10213|10216|10294|10346|10379|10405|10500|10521|10647|10681|10713|10714|10715|10716|10717|10808|11123|11241|11266|11597|11665|11737|11771|12367|12753|12815|12929|13335|13391|14237|14527|14765|14833|15177|15487|15505|15605|15613|15651|15689|15769|16035|16241|16498|16512|16890|16894|16916|17074|17113|17391|17655|17743|18055|18397|18689|18849|19285|19367|19391|20141|20267|20507|20583|20651|20689|20767|21339|21563|21677|21855|22099|22125|22297|22433|22673|22745|23199|23327|23421|23425|23755|23775|23777|24347|24415|25437|25537|25777|25781|25833|25879|27663|27727|27821|27831|27833|28025|28701|28891|29017|29163|29583|29589|29755|30191|30230|30240|30291|30311|30346|30364|30384|30503|30885|31051|31174|31181|31223|31229|31245|31289|31374|31417|31478|31552|31560|31658|31715|31757|31758|32026|32268|32383|32485|32867|32869|32870|32871|32878|32915|32935|32948|32983|33036|33047|33049|33064|33071|33255|33506|33733|34100|34238|34307|34465|34534|34537|34577|34591|34612|34712|34784|34944|35067|35110|35111|35122|35182|35247|35248|35434|35760|35806|35928|36220|36275|36369|36370|36492|36516|36538|36702|36761|36796|36982|36999|37033|37139|37272|37292|37303|37306|37435|37475|37487|37966|38003|38192|38198|38201|38234|38235|38249|38524|38731|38883|38897|39175|39339|39477|39590|39701|39849|39948|40028|40314|40329|40389|40542|40554|40620|40716|40730|40776|40786|40870|41052|41491|42091|42250|42391|42668|42894|42938|43350|43756|44409|44586|45195|46735|47257|47409|48409|48583|48612|48680|48775|48829|48903|49119|49120|49211|49283|49321|49596|49627|49776|49858|50258|50330|50399|50410|50685|50695|50710|50930|51535|51554|52107|52186|52367|52742|53851|53889|54040|54730|54789|54829|54865|54866|54898|55647|55823|55855|56609|56738|56964|57559|57864|58516|58811|58996|59162|59189|59226|59228|59406|59408|59571|60098|60302|60775|60790|61840|62603,"Trigun|Hachimitsu to Clover|One Piece|Ring ni Kakero 1|Sunabouzu|Cluster Edge|Corrector Yui|Green Green|Kanon|Kita e.: Diamond Dust Drops|Ultra Maniac|Ultra Maniac OVA|Noir|Bakuten Shoot Beyblade|Psychic Academy|Tsukuyomi: Moon Phase|Fate/stay night|Iriya no Sora, UFO no Natsu|I'll/CKBC|Gantz|Gantz 2nd Stage|Ueki no Housoku|Damekko Doubutsu|Paniponi Dash!"
"Kamiya, Hiroshi",95118,,108534,20173,108534,32,10,18,244|337|790|907|1225|1767|1918|2215|2777|3165|4066|7705|10178|10469|11241|19669|20141|25161|33048|36492|37292|38012|39506|40013|40329|43350|45195|48470|48903|49221|56964|61891,Agatha Christie no Meitantei Poirot to Marple|Psychic Academy|Ergo Proxy|Princess Princess|3x3 Eyes: Seima Densetsu|Psycho Diver: Mashou Bosatsu|Mahou Shoujo Pretty Sammy|Kishin Taisen Gigantic Formula|Generation of Chaos Next: Chikai no Pendant|Hidamari Sketch Specials|Tytania|Starry☆Sky|Otona Joshi no Anime Time|Sayonara Zetsubou Sensei Special|Brave 10|Kuroko no Basket: Baka ja Katenai no yo!|Lupin III: Princess of the Breeze - Kakusareta Kuuchuu Toshi|One Piece 3D2Y: Ace no Shi wo Koete! Luffy Nakama to no Chikai|Zegapain ADP|Road to You|Fei Ren Zai|Toe! Space Attendant Aoi|Phantasy Star Online 2: Episode Oracle|Carole & Tuesday Specials|Crayon Shin-chan Movie 28: Gekitotsu! Rakuga Kingdom to Hobo Yonin no Yuusha
"Hanazawa, Kana",95185,185,103010,17946,103010,546,267,295,97|878|933|1865|2603|2744|2942|3087|3231|3292|3407|3455|3464|3577|3667|3958|4063|4483|4726|4765|4999|5081|5277|5279|5530|5667|5675|5678|5978|6098|6164|6166|6213|6251|6312|6381|6408|6500|6547|6573|6610|6746|6772|6880|6896|6974|7054|7059|7148|7669|7691|7770|7817|8101|8129|8302|8408|8476|8481|8514|8525|8648|8668|8769|8915|8917|9041|9062|9181|9202|9220|9252|9314|9332|9335|9337|9355|9366|9367|9379|9465|9479|9488|9618|9693|9724|9774|9863|9919|10012|10020|10073|10092|10098|10108|10110|10155|10172|10180|10187|10196|10278|10336|10372|10390|10391|10447|10572|10628|10638|10647|10671|10681|10719|10793|10794|10808|10863|10884|10897|11013|11266|11285|11577|11597|11615|11715|11737|11763|11783|11837|12293|12419|12429|12565|12611|12651|12815|12921|13125|13161|13349|13403|13535|13561|13601|13655|13659|13663|13833|13851|14027|14075|14227|14293|14513|14515|14669|14817|14967|15125|15379|15533|15729|15807|15989|16011|16049|16051|16067|16123|16157|16385|16395|16636|16706|16742|16782|16866|17074|17247|17655|17681|18001|18095|18115|18121|18139|18195|18247|18857|18897|19023|19169|19397|19685|20031|20045|20057|20155|20449|20473|20479|20785|20973|20977|21009|21033|21039|21189|21201|21339|21373|21405|21415|21437|21561|21603|21653|22043|22199|22319|22335|22433|22535|22541|23199|23281|23341|23383|23459|23857|24075|24227|24365|24405|24451|24469|24627|24873|24913|24973|25117|25241|25519|26395|26441|26449|27787|27831|27833|27957|28185|28387|28431|28625|28677|28771|28861|28979|29589|29854|29868|29876|30191|30240|30370|30381|30419|30484|30567|30954|31098|31105|31181|31380|31440|31478|31559|31610|31629|31646|31711|31716|31848|31867|31914|31927|32086|32171|32188|32228|32268|32281|32400|32454|32455|32485|32491|32553|32666|32673|32729|32830|32867|32900|32901|32930|32956|33027|33028|33048|33433|33506|33531|33546|33731|33783|33811|34102|34103|34126|34136|34177|34284|34289|34374|34375|34376|34445|34465|34480|34498|34503|34537|34566|34855|34902|34934|34972|34974|35000|35180|35247|35286|35370|35427|35776|35788|35838|35839|35972|36369|36371|36516|36542|36565|36796|36798|36816|36949|36962|36976|36999|37023|37139|37141|37433|37440|37441|37451|37492|37517|37587|37596|37598|37711|37799|37952|38000|38003|38098|38101|38110|38161|38192|38256|38284|38663|38733|38787|38826|39292|39463|39491|39506|39531|39584|39586|39710|39783|39790|39931|39940|39942|40165|40174|40211|40230|40351|40356|40497|40504|40568|40571|40730|40747|40833|40858|40873|40902|40907|40908|41103|41169|41530|41556|41574|41660|42071|42387|42587|42670|42803|42886|43691|44940|45572|45653|46093|46352|46422|46985|47158|47391|48316|48548|48553|48561|48643|48753|48775|48804|49291|49321|49345|49519|49520|49848|49926|49938|49979|50203|50273|50287|50330|50594|50652|50685|50694|50710|50713|51019|51213|51243|51307|51495|51693|51805|51815|52107|52505|52614|52747|52816|53127|53162|53287|53428|53447|53595|53613|53722|53762|53889|53924|54595|54740|54743|54829|54898|54915|55115|55265|55463|55597|55701|55749|55911|55995|56055|56243|56348|56907|57100|57353|57371|57646|57864|58395|58462|58516|58614|58725|58755|58853|59062|59131|59144|59177|59192|59226|59466|59561|59632|60377|60726|61067|61331|61339|61773|61952|62066|62405|62863|64106,Last Exile|Zegapain|Dai Mahou Touge|Getsumen to Heiki Mina|Mushi-Uta|Potemayo|Sketchbook: Full Color's|Cencoroll|Gunslinger Girl: Il Teatrino|Potemayo Specials|Blassreiter|To LOVE-Ru|Kemeko Deluxe!|Kyouran Kazoku Nikki|Strike Witches|Kannagi|Sekirei|Mahoutsukai ni Taisetsu na Koto: Natsu no Sora|Druaga no Tou: The Sword of Uruk|Gunslinger Girl: Il Teatrino OVA|Asu no Yoichi!|Bakemonogatari|Sekirei: Pure Engagement|Sekirei: Hajimete no Otsukai|Pandora Hearts
"Hanazawa, Kana",95185,,103010,17946,103010,69,32,35,4177|6164|6408|7669|8481|10012|12565|13349|15785|17563|19845|20973|21039|21603|23459|26359|29854|29868|30292|31098|31478|31608|31668|31848|31927|32171|32455|32461|32816|32817|32867|32901|33219|33242|34289|34614|34972|36468|37897|38003|38154|39506|39605|39790|40356|40571|40707|40730|40908|46093|47778|49345|50330|50597|52816|53085|53127|53447|53958|54898|55115|55265|56055|56638|56702|57100|59131|59459|60987,"Bounen no Xamdou|Aoi Hana|""Bungaku Shoujo"" Movie|""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi|""Bungaku Shoujo"" Memoire|Carnival Phantasm|Fate/Prototype|Chouyaku Hyakuninisshu: Uta Koi.|Inazuma Eleven Go vs. Danball Senki W Movie|Koutetsu no Vendetta Episode 0|Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie|Sekai Seifuku: Bouryaku no Zvezda|Gatchaman Crowds Insight|Mekakucity Actors|Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen|Persona 4 the Golden Animation: Thank you Mr. Accomplice|Ushio to Tora (TV)|Go! Princess Precure Movie: Go! Go!! Gouka 3-bondate!!!|Saki Achiga-hen: Episode of Side-A - Kuro no Tanjoubi|Ushio to Tora (TV) 2nd Season|Bungou Stray Dogs|Teekyuu 4 Specials|Teekyuu 5 Specials|Ojisan to Marshmallow|Phantom of the Kill: Zero kara no Hangyaku"
"Miyano, Mamoru",95065,65,93162,17791,93162,378,175,215,15|74|141|202|237|275|390|483|560|853|964|1023|1247|1535|1555|1631|2030|2159|2162|2369|2418|2581|2685|2795|2994|3457|3588|3686|3927|4021|4068|4080|4246|4415|4551|4722|4752|5039|5072|5226|5231|5351|5717|6008|6046|6288|6408|6746|7058|7083|7193|7270|7597|7705|7720|7902|8074|8297|8408|8481|8934|8961|9032|9107|9656|9917|9981|10155|10321|10396|10507|10536|10702|10740|10800|10863|10999|11013|11061|11577|11755|11783|11837|12119|12565|12671|12711|12753|12857|12929|13271|13335|13403|14093|14397|14467|14751|14921|15313|15651|15785|15819|16035|16385|16518|16528|16576|16668|16680|16738|16904|17115|17505|17873|18115|18229|18295|18507|18745|19099|19251|19447|19613|19647|19671|19769|20267|20743|20971|21039|21077|21177|21439|21507|21603|21755|22145|22265|22319|23199|23289|23425|23703|23755|23991|24135|24171|24439|24833|25049|25517|25731|26213|27441|27633|27815|27831|27833|27899|27957|27991|28223|28623|28805|28881|28981|29017|29803|29854|30276|30347|30413|30415|30484|30654|30736|30740|30868|30869|30870|30925|30952|31098|31139|31178|31196|31297|31433|31478|31559|31580|31645|31722|31783|32015|32038|32039|32086|32188|32494|32802|32863|32867|32995|33071|33080|33082|33113|33245|33248|33253|33337|33372|33378|33513|33733|33783|33845|34008|34077|34134|34178|34325|34389|34428|34451|34498|34513|34577|34944|34961|35136|35191|35198|35228|35645|35720|35737|35789|35923|35928|36022|36023|36027|36369|36370|36371|36470|36497|36511|36704|36816|36923|37303|37305|37306|37307|37308|37379|37403|37426|37435|37476|37492|37501|37781|37799|37858|37859|37860|37897|37976|37997|38003|38027|38086|38110|38235|38400|38431|38472|38671|38883|39014|39017|39067|39235|39244|39487|39491|39574|39584|39591|39701|39988|40174|40211|40620|40776|40858|40894|40956|41120|41283|41491|41497|41520|41595|42174|42250|42829|42886|43760|44204|44807|45999|46420|47778|48573|48830|48895|48903|49370|50099|50159|50330|50549|50552|50710|50846|51019|51554|51794|51805|51818|52601|52807|53447|53587|53627|53874|54042|54112|54730|54754|54790|54829|54850|54865|54898|55570|55791|56038|56165|56196|56538|56647|56840|58351|58502|58511|58883|58920|59062|59145|59162|59192|59205|59228|59274|59914|60098|60336|60377|60564|60610|61851|61952,Eyeshield 21|Gakuen Alice|Jinki:Extend|Wolf's Rain|Koukyoushihen Eureka Seven|Love♥Love?|Suzuka|Kurau Phantom Memory|Soukyuu no Fafner: Dead Aggressor - Right of Left|Ouran Koukou Host Club|Hit wo Nerae!|Wolf's Rain OVA|Project BLUE Chikyuu SOS|Death Note|Tokimeki Memorial: Only Love|Koukyoushihen Eureka Seven: Kinkyuu Tokuban Navigation ray=out|El Cazador de la Bruja|Ookiku Furikabutte|Koutetsu Sangokushi|Rental Magica|Stranger: Mukou Hadan|Kidou Senshi Gundam 00|Tsubasa: Tokyo Revelations|Dragonaut: The Resonance|Death Note: Rewrite
"Miyano, Mamoru",95065,,93162,17791,93162,39,8,30,1741|2418|4080|12565|12929|14617|19825|21195|21603|21755|27441|30191|30276|30740|31851|32038|32039|32086|33219|33519|33520|34134|35880|38085|39235|39574|40013|41520|44807|48903|49165|50099|51542|52573|52807|55570|58502|59205|60408,Hit wo Nerae! Specials|Stranger: Mukou Hadan|Kyou kara Maou! 3rd Series|Fate/Prototype|Saint Seiya Omega|Stranger: Mukou Hadan Pilot|Saikyou Ginga Ultimate Zero: Battle Spirits|Soul Eater: Late Night Show|Mekakucity Actors|Shin Tennis no Oujisama vs. Genius 10|Show By Rock!!|Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou|One Punch Man|Young Black Jack|Dog Days'': Limone Resort Tenbou Onsen!|Show By Rock!! #|Show By Rock!! Short!!|Blame! Movie|Kagerou Daze: In a Day's|Koutetsujou no Kabaneri Movie 1: Tsudou Hikari|Koutetsujou no Kabaneri Movie 2: Moeru Inochi|One Punch Man 2nd Season|Yowamushi Pedal: Re:Generation|Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram|Ni no Kuni
"Kaji, Yuuki",95672,672,75436,16853,75436,483,223,291,235|1199|1516|1557|2112|3226|4548|4898|5027|5231|5337|6702|6707|6746|6787|6793|6880|7081|7103|7720|7769|8068|8098|8132|8287|8408|8457|8476|8934|8963|9032|9136|9201|9289|9510|9919|9982|10161|10180|10196|10218|10447|10460|10507|10572|10578|10647|10681|10713|10793|10798|10808|10999|11266|11617|11633|11737|11739|11759|12113|12115|12157|12365|12419|12467|12505|12651|12729|13093|13125|13203|13261|13349|13357|13561|13693|13859|13939|13993|14075|14175|14289|14467|14513|14765|14833|15225|15439|15451|15605|15785|15807|16051|16381|16498|16668|16904|17080|17247|17513|17655|17743|17919|18097|18115|18245|18277|18295|18397|18497|18499|18689|18897|19099|19285|19291|19367|19391|20057|20155|20431|20507|20583|20767|20787|20919|20987|21077|21177|21427|21437|21541|21563|21569|21571|21695|21703|21743|21995|22043|22145|22319|22789|23199|23273|23279|23301|23317|23755|23775|23777|23849|24135|24151|24227|24347|24405|24469|24471|24591|24703|25045|25049|25303|25437|25777|25805|25833|25999|27417|27787|27831|27833|27899|27991|28069|28249|28257|28623|28891|29419|29755|29854|29974|30191|30230|30276|30300|30347|30381|30503|30549|30738|30868|30869|30885|30953|31128|31157|31163|31221|31229|31231|31245|31326|31374|31378|31405|31433|31452|31456|31592|31630|31675|31722|31763|31772|31783|31798|31812|31821|31933|31964|32015|32034|32071|32086|32212|32215|32222|32359|32379|32412|32553|32664|32696|32827|32915|32962|33036|33037|33129|33185|33191|33218|33248|33254|33263|33378|33391|33486|33506|33726|33733|33737|33783|33850|33929|33966|33975|34134|34178|34281|34325|34349|34465|34480|34498|34543|34544|34577|34604|34612|34866|35070|35075|35086|35122|35228|35255|35262|35330|35334|35424|35425|35434|35459|35760|35788|35838|35851|35860|35889|35946|35968|35972|36106|36124|36144|36220|36369|36370|36371|36456|36498|36511|36517|36556|36702|36803|36816|36884|36896|36923|36949|37029|37208|37292|37305|37306|37307|37308|37403|37490|37571|37601|37621|37719|37799|37897|37958|37991|37994|38000|38098|38198|38235|38249|38331|38349|38393|38408|38450|38464|38524|38668|38669|38672|38731|38770|38826|38843|38883|38972|38990|38993|39235|39277|39477|39491|39565|39701|39705|39806|39905|39931|39940|39942|40028|40045|40215|40228|40230|40262|40351|40434|40542|40776|40834|40858|40902|40906|40907|40935|40964|41053|41491|41587|41688|42091|42174|42590|42603|42668|42805|42886|43470|43771|43778|44200|44940|45567|46420|48365|48425|48583|48917|49228|49345|49469|49522|49556|49627|49721|49722|49738|49918|50315|50330|50414|50532|50549|50559|50675|51116|51183|51461|51535|51781|51794|51805|52031|52107|52211|52614|52657|52741|52742|52747|52807|52976|52985|53026|53835|53889|53911|54449|54730|54781|54789|54850|54898|55690|55701|55813|55855|55911|56165|56196|56685|56731|57181|57519|57798|58484|58511|58516|58964|59138|59142|59162|59189|59226|59228|59408|59435|59497|59571|59666|59914|60098|60377|61239,"Meitantei Conan|Nintama Rantarou|Kirarin☆Revolution|Shounen Onmyouji|Over Drive|Major S4|Yozakura Quartet|Kuroshitsuji|Stitch!|Inazuma Eleven|Bakugan Battle Brawlers: New Vestroia|Fairy Tail|Kuroshitsuji II|Durarara!!|Goulart Knights: Evoked the Beginning Black|Kuroshitsuji: Sono Shitsuji, Kougyou|Deadman Wonderland|Danball Senki|Miracle☆Train: Oedo-sen e Youkoso|Ookiku Furikabutte: Natsu no Taikai-hen|Ookami-san to Shichinin no Nakama-tachi|Kuroshitsuji Picture Drama|Soukyuu no Fafner: Dead Aggressor - Heaven and Earth"
"Kaji, Yuuki",95672,,75436,16838,75436,50,13,37,2744|3292|4094|10330|11633|13349|21743|22381|28249|29823|30276|30953|31157|31378|31433|31772|31821|32827|33254|33263|33519|33520|34134|34527|35086|35255|35425|35838|36073|36369|36468|37254|37994|38235|38843|38993|39705|40228|42805|42886|44025|49721|52211|52807|55813|57798|58602|59666|60185|60645,"Potemayo|Potemayo Specials|Batman: Gotham Knight|Bakugan Battle Brawlers: Mechtanium Surge|Blood Lad|Chouyaku Hyakuninisshu: Uta Koi.|Donten ni Warau|Nandaka Velonica|Arslan Senki (TV)|Channel 5.5 3rd Season|One Punch Man|Arslan Senki (TV): Arsen 4-koma Gekijou|ClassicaLoid|Owari no Seraph: Kyuuketsuki Shahar|Ginga Eiyuu Densetsu: Die Neue These - Kaikou|One Punch Man Specials|Arslan Senki (TV): Fuujin Ranbu|B: The Beginning|Arslan Senki (TV) Gaiden|Kubikiri Cycle: Aoiro Savant to Zaregotozukai|Koutetsujou no Kabaneri Movie 1: Tsudou Hikari|Koutetsujou no Kabaneri Movie 2: Moeru Inochi|One Punch Man 2nd Season|Gou-chan.: Moko to Chinjuu no Mori no Nakama-tachi|Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai"
"Miyazaki, Hayao",96870,1870,74407,12085,74407,1,0,2,2488,Mei to Koneko Bus
"Hayami, Saori",95869,869,69323,18544,69323,428,162,271,21|1565|2105|3085|3322|4063|5277|5279|5484|5525|5630|5675|5958|6098|6203|6372|6572|6594|6637|6702|6885|6927|7148|7674|7769|7858|8086|8246|8302|8407|8424|8525|8666|8769|8888|8917|8934|9159|9201|9335|9355|9581|9690|9774|9790|9989|10020|10030|10080|10108|10294|10405|10501|10671|10713|10714|10715|10716|10717|10721|10808|10937|11313|11339|11597|11615|11757|12189|12365|12857|12921|13283|13333|13349|13639|13659|13759|13833|14289|14813|14921|15039|15059|15197|15199|15201|16067|16123|16353|16518|16706|17074|17651|17681|18617|18619|18753|18857|19117|19319|19397|20021|20507|20673|20767|20785|20939|21273|21437|21507|21563|21863|22043|22507|22865|23079|23273|23341|23587|23847|24469|24475|24627|24855|24873|25159|25867|25939|25999|26243|27419|27441|27907|27989|28025|28069|28121|28387|28677|28755|28791|28851|28927|29511|29787|29854|30123|30276|30344|30458|30503|30533|30711|30714|30901|31050|31098|31173|31181|31378|31442|31448|31456|31483|31756|31772|31884|31904|31918|31988|31989|32038|32039|32071|32086|32171|32268|32365|32615|32740|32772|32801|32828|32878|32900|32946|32981|33003|33075|33161|33164|33183|33184|33203|33280|33378|33421|33433|33487|33743|33970|34134|34204|34257|34302|34566|34662|34742|34904|34933|34980|35062|35076|35082|35202|35206|35228|35247|35333|35557|35678|35740|35790|35839|35849|35883|35964|35972|36029|36397|36593|36729|36783|36796|36982|36995|36999|37055|37086|37141|37202|37208|37221|37262|37347|37348|37377|37422|37490|37496|37501|37735|37765|37910|37984|38000|38081|38084|38192|38337|38450|38472|38544|38555|38733|38790|38939|39166|39167|39196|39198|39199|39355|39469|39489|39547|39574|39575|39586|39592|39705|39894|39988|39990|40221|40356|40394|40397|40403|40453|40454|40456|40497|40540|40590|40747|40748|40906|40940|41226|41312|41379|41402|41457|41468|41514|41520|41567|42282|42321|42351|42387|42670|42717|42774|42923|42962|43523|43608|43760|43767|44248|44275|44881|45572|46422|46431|46604|47164|48375|48569|48624|48742|48779|48896|49236|49304|49692|49738|49778|49784|49785|49831|49842|49889|49909|49926|50265|50475|50583|50602|50710|50713|50882|51009|51381|51498|51536|51648|51716|51837|52198|52308|52357|52505|52635|52701|52807|52816|52934|52967|53111|53149|53414|53428|53494|53512|53626|53627|53680|53887|53888|54309|54595|54650|54717|54754|54829|54865|54923|54968|55149|55701|55727|55813|55887|56840|56854|57066|57325|57567|57611|57691|57810|57859|57864|57891|57892|58437|58462|58856|58939|59027|59161|59192|59390|59465|59619|59819|59989|60063|60140|60285|60478|60508|61227|61851|62035,One Piece|Pokemon Diamond & Pearl|Touka Gettan|Koharu Biyori|Wagaya no Oinari-sama.|Sekirei|Sekirei: Pure Engagement|Sekirei: Hajimete no Otsukai|Wagaya no Oinari-sama.: Kuu-chan no Omake Gekijou|07-Ghost|Higashi no Eden|Basquash!|Sora no Otoshimono|Sora no Manimani|Sasameki Koto|Higashi no Eden Movie I: The King of Eden|Shakugan no Shana S|Katanagatari|Higashi no Eden Movie II: Paradise Lost|Fairy Tail|Sora no Manimani Specials
