anidb_tag_id,anidb_tag_name,parent_id,anime_count,tag_occurrences,max_weight,weight_sum,avg_weight,normalized_name,target_kind,target_label,fallback_weight,mapping_source
6173,origin,,15821,15821,0,0,0.0,origin,ignore,,,explicit_ignore
7885,Japanese production,6173.0,14173,14173,0,0,0.0,japanese production,ignore,,,unmapped
2611,elements,,9758,9758,0,0,0.0,elements,ignore,,,explicit_ignore
2609,original work,,8975,8975,0,0,0.0,original work,ignore,,,explicit_ignore
2607,themes,,7756,7756,0,0,0.0,themes,ignore,,,explicit_ignore
2610,setting,,7130,7130,0,0,0.0,setting,ignore,,,explicit_ignore
2606,target audience,,6703,6703,0,0,0.0,target audience,ignore,,,explicit_ignore
2613,place,2610.0,6611,6611,0,0,0.0,place,ignore,,,explicit_ignore
6151,technical aspects,,6556,6556,0,0,0.0,technical aspects,ignore,,,explicit_ignore
2605,dynamic,,5766,5766,0,0,0.0,dynamic,ignore,,,explicit_ignore
7050,speculative fiction,2611.0,5536,5536,0,0,0.0,speculative fiction,ignore,,,unmapped
2612,time,2610.0,5521,5521,0,0,0.0,time,ignore,,,explicit_ignore
30,maintenance tags,,5491,5491,0,0,0.0,maintenance tags,ignore,,,explicit_ignore
2630,Earth,2613.0,5216,5216,600,2304500,441.81,earth,ignore,,,unmapped
2604,content indicators,,4930,4930,0,0,0.0,content indicators,ignore,,,explicit_ignore
2853,comedy,2611.0,4708,4708,600,1566600,332.75,comedy,genre,Comedy,,curated_genre
6230,cast,2605.0,4522,4522,0,0,0.0,cast,ignore,,,explicit_ignore
2841,action,2611.0,4401,4401,600,1542600,350.51,action,genre,Action,,curated_genre
2834,Asia,2630.0,4398,4398,600,1902100,432.49,asia,ignore,,,unmapped
2672,Japan,2834.0,4160,4160,600,2172000,522.12,japan,ignore,,,unmapped
2798,manga,2609.0,4000,4000,0,0,0.0,manga,ignore,,,unmapped
2858,romance,2611.0,3560,3560,600,925200,259.89,romance,genre,Romance,,curated_genre
2624,present,2612.0,3448,3448,600,1828900,530.42,present,ignore,,,explicit_ignore
2849,fantasy,7050.0,3435,3435,600,1149100,334.53,fantasy,genre,Fantasy,,curated_genre
2749,nudity,2604.0,3426,3426,600,1318900,384.97,nudity,tag,Nudity,100,curated_tag
2608,fetishes,,3286,3286,0,0,0.0,fetishes,ignore,,,explicit_ignore
2931,unsorted,,3138,3138,0,0,0.0,unsorted,ignore,,,explicit_ignore
2750,violence,2604.0,2870,2870,600,847100,295.16,violence,ignore,,,unmapped
2846,science fiction,7050.0,2811,2811,600,922400,328.14,science fiction,genre,Sci-Fi,,curated_genre
